	background	ME23	ME25	ME12	ME21	ME31	ME47	ME13	ME39	ME27	ME5	ME10	ME40	ME7	ME33	ME4	ME11	ME49	ME6	ME15	ME44	ME14	ME19	ME55	ME57	ME1	ME16	ME24	ME51	ME34	ME54	ME3	ME50	ME17	ME9	ME26	ME22	ME20	ME45	ME36	ME53	ME58	ME18	ME30	ME35	ME37	ME8	ME59	ME43	ME38	ME56	ME46	ME28	ME2	ME41	ME48	ME29	ME52	ME32	ME42	ME0
16	NA	NA	411218	NA	NA	552677	NA	724789	726775	NA	NA	552596	550962	725483	409320	NA	551809	NA	552086	100576184	100578123	412599	NA	410330	550673	551462	410566	NA	NA	409227	NA	NA	NA	NA	409628	725178	NA	724744	NA	100576100	413165	NA	727128	552049	NA	410492	NA	NA	NA	NA	725146	409085	726723	100577322	413977	NA	NA	409024	551405	100578085	NA
17	NA	100577132	413821	NA	551066	NA	551102	100576104	NA	552231	NA	NA	100577382	551603	551523	552392	551866	100578834	NA	727151	727423	412544	552355	412172	100577870	NA	408442	NA	724336	409020	413101	726352	NA	100578835	725900	409005	724430	724654	100578733	NA	100576439	100576916	NA	NA	552491	NA	NA	413666	411609	100576742	727166	NA	100577280	NA	NA	NA	NA	NA	726382	NA	NA
18	725387	552529	408391	100578822	NA	413091	724308	725705	413591	NA	NA	409969	NA	409148	408303	412864	NA	NA	NA	100576530	100576395	NA	100576402	410345	413119	552576	726422	NA	NA	NA	410334	726329	726153	725218	724393	409442	727546	550921	726834	726530	NA	413929	100576738	NA	NA	NA	NA	408365	NA	100578439	100578341	100578699	100577188	409714	409143	406106	NA	411457	409805	NA	725387
19	725458	726486	409696	NA	410570	409373	724259	100579034	727450	552759	NA	724932	100578999	NA	NA	726427	552802	725951	NA	413286	413934	410565	409243	550926	412735	NA	413976	551998	NA	726214	NA	408428	NA	727311	551780	NA	411841	724294	551098	100577803	NA	725444	725668	552239	NA	NA	409206	412045	677674	408361	411691	408306	410109	552350	NA	409158	724563	408563	NA	410087	725458
20	NA	410282	725067	550811	726997	552752	725536	413684	413451	409889	414009	726617	725062	NA	NA	100578473	552673	726883	NA	410559	411071	411269	413690	410055	NA	727647	409368	412491	NA	411321	411154	100577543	100576965	408500	NA	409762	NA	NA	NA	550684	727247	NA	551644	724386	NA	406086	NA	409171	677673	NA	412515	NA	413171	411575	NA	NA	408996	409051	409787	NA	NA
21	NA	NA	552515	NA	NA	408716	100577936	NA	552287	100576615	412200	551545	726806	551226	727578	552268	411164	550869	409166	NA	724652	412079	413493	410965	409291	NA	NA	412714	NA	NA	409573	NA	NA	413285	NA	409341	NA	NA	409847	NA	100577681	NA	NA	409619	552830	725102	413739	NA	NA	724791	552829	NA	411476	NA	NA	410487	726850	NA	NA	NA	NA
22	NA	726946	409011	409493	551016	726066	726760	410558	552472	551632	409208	724176	NA	NA	551273	413660	410561	100578173	409150	552503	409465	725332	725174	551353	411410	NA	411081	552289	724817	100578939	413309	100577696	725324	NA	NA	NA	100576152	NA	NA	NA	552680	NA	406126	552401	NA	NA	NA	551619	551524	552738	552292	NA	NA	412739	410320	NA	408325	412591	409786	NA	NA
23	410696	409943	NA	408863	NA	408451	NA	NA	412131	409538	408379	NA	412919	NA	552790	551426	410571	552327	409165	409157	NA	550698	725481	NA	412503	724437	NA	NA	NA	100576179	NA	408423	409817	410555	NA	NA	NA	551224	NA	408364	NA	726543	409599	552386	727007	551758	551137	725877	724838	NA	410167	NA	NA	NA	726407	413054	410271	NA	NA	408272	410696
24	725348	725616	100578523	NA	100577919	724571	NA	410037	100579061	409455	NA	406082	NA	552170	411661	100576373	727026	552629	726297	NA	NA	726007	411338	552535	409550	409370	NA	100577764	NA	724736	725662	NA	NA	NA	NA	725703	NA	727418	NA	NA	NA	726278	412768	409602	409595	409919	551917	551291	552418	412056	412678	408449	NA	NA	NA	NA	410272	409203	NA	NA	725348
25	NA	725289	NA	NA	NA	409993	NA	552031	100576143	409995	551590	NA	NA	100577381	552495	412644	408477	413948	NA	NA	100578555	551582	409249	412529	409377	NA	551118	100578709	408316	NA	100576843	NA	NA	411273	727505	409488	NA	552104	NA	NA	551243	NA	412769	NA	NA	552145	552149	NA	NA	410638	NA	NA	413423	NA	NA	409697	724155	NA	NA	409180	NA
26	724496	NA	412782	100577386	408949	NA	NA	NA	412679	725565	410357	551422	551871	724142	411889	727257	726076	725563	NA	409912	410236	NA	725136	412454	NA	NA	551931	NA	408309	NA	408276	100576282	411046	411270	100576956	551961	100579005	100576293	NA	NA	100577886	NA	409267	412764	NA	409396	100577576	NA	725305	NA	725039	NA	100577752	412128	NA	411115	NA	NA	NA	409179	724496
27	100578243	408329	NA	NA	NA	NA	410630	412746	100576872	408382	727561	NA	726745	724529	411100	100577094	409154	NA	NA	551480	NA	551805	724873	551549	411349	NA	NA	413583	NA	412424	100577578	NA	NA	NA	NA	409662	NA	NA	409777	NA	100577159	408543	100578223	NA	NA	NA	NA	413263	406140	409624	552712	408844	NA	NA	726283	100578865	408327	409655	NA	NA	100578243
28	550996	725871	409299	NA	408803	411539	409440	NA	100577679	100578440	412731	410106	100577754	100577579	552430	413815	409367	NA	552227	551088	410179	412371	412155	725577	552346	NA	550689	412008	NA	411018	552709	NA	100578423	409553	NA	NA	408967	NA	100578685	NA	NA	NA	410241	411685	409485	725756	NA	NA	724175	724694	406094	NA	413334	NA	NA	550930	409077	NA	552679	726666	550996
