,module_name,module_size,active_parent_overlap,active_strain_overlap,sterile_parent_overlap,sterile_strain_overlap,active_parentDML_pvalue,active_strainDML_pvalue,ster_parentDML_pvalue,ster_strainDML_pvalue,active_PSGE_module_overlap,sterile_PSGE_module_overlap,DEG_reproductive_module_overlap,activePSGE_repstat_pvalue,sterilePSGE_repstat_pvalue,DEG_repstat_pvalue
48,ME59,39,0,1,0,1,0.253379998,0.124610014,0.110074023,0.014330708,2,3,8,0.017944823,0.001060571,0.386268387
49,ME43,61,0,0,0,0,0.367065615,0.61966907,0.166852069,0.249563879,1,3,7,0.216257456,0.005521698,0.944415545
50,ME38,77,0,1,0,0,0.43880669,0.341072033,0.205908122,0.304144371,1,4,17,0.300852973,0.002024612,0.281524486
51,ME56,41,0,1,0,0,0.264500504,0.13518985,0.115387947,0.175379234,0,1,1,0.445732377,0.082269805,0.998908657
52,ME46,59,0,1,0,1,0.35748206,0.236627945,0.161840126,0.031171381,0,1,11,0.572468606,0.150394091,0.539464123
53,ME28,108,1,4,0,0,0.192477075,0.027570881,0.276558737,0.399002503,2,0,2,0.200225218,0.719070878,0.99999999
54,ME2,1165,6,18,3,7,0.775570028,0.465001749,0.462204347,0.17663251,22,11,205,0.069628223,0.713087507,0.988700773
55,ME41,63,0,1,0,0,0.376507567,0.259919363,0.171834752,0.25661044,0,1,11,0.596454664,0.166749341,0.638113663
56,ME48,56,0,2,0,0,0.342836611,0.057592472,0.154266981,0.2316584,3,3,0,0.008288005,0.004064315,0.999996783
57,ME29,105,0,0,0,1,0.545496386,0.811121194,0.269999076,0.086840811,2,4,28,0.189323918,0.007634471,0.040765674
58,ME52,49,4,2,3,2,3.07E-05,0.041408678,1.31E-05,0.001551922,3,3,29,0.005164227,0.002496659,3.94E-10
59,ME32,97,0,0,0,0,0.51725205,0.785452385,0.252221486,0.366898885,6,5,49,0.000471369,0.000937858,5.69E-12
60,ME42,62,1,1,0,1,0.078014297,0.254090371,0.169347058,0.034144569,1,1,4,0.221510596,0.162630903,0.997453456
61,ME0,1797,16,33,7,16,0.179069767,0.141038537,0.15924931,0.003116129,33,22,379,0.051139278,0.346080933,0.143379982
