"","module_name","module_size","active_overlap","sterile_overlap","activeDML_pvalue","sterileDML_pvalue","active_PSGE_module_overlap","sterile_PSGE_module_overlap","activePSGE_repstat_pvalue","sterilePSGE_repstat_pvalue"
"1","background","14086","63","55","0","0","0","0","1","1"
"2","ME23","122","1","0","0.103390545660584","0.38081912532436","0","0","0.00866108192531589","0.00866108192531589"
"3","ME25","113","1","0","0.0908889382153411","0.358439822550195","0","0","0.00802214965213688","0.00802214965213688"
"4","ME12","245","0","0","0.669738929481927","0.619744419999912","0","0","0.0173931563254299","0.0173931563254299"
"5","ME21","170","2","1","0.0404963653499038","0.142377085518867","0","0","0.0120687207156042","0.0120687207156042"
"6","ME31","97","0","0","0.353576173729245","0.316677158191701","0","0","0.00688627005537412","0.00688627005537412"
"7","ME47","57","0","0","0.225870558297889","0.200239027944315","0","0","0.00404657106346673","0.00404657106346673"
"8","ME13","241","1","3","0.293152261266647","0.0144179364034083","0","0","0.0171091864262392","0.0171091864262392"
"9","ME39","71","0","0","0.273165750471082","0.24305304915421","0","0","0.00504046571063421","0.00504046571063421"
"10","ME27","111","0","0","0.393178924362178","0.353359823690628","0","0","0.00788016470254149","0.00788016470254149"
"11","ME5","621","3","1","0.301743399680448","0.70437214692741","0","0","0.0440863268493533","0.0440863268493533"
"12","ME10","393","2","0","0.256977162050464","0.789727096442932","0","0","0.0279000425954848","0.0279000425954848"
"13","ME40","63","1","1","0.0322856369454856","0.0251130759901509","0","0","0.00447252591225378","0.00447252591225378"
"14","ME7","566","7","2","0.00357534652105418","0.381187028767939","0","0","0.0401817407354821","0.0401817407354821"
"15","ME33","97","0","0","0.353576173729245","0.316677158191701","0","0","0.00688627005537412","0.00688627005537412"
"16","ME4","669","1","0","0.807548832429932","0.931540066189852","0","0","0.0474939656396421","0.0474939656396421"
"17","ME11","366","3","2","0.0809804545927425","0.171415912672065","0","0","0.0259832457759474","0.0259832457759474"
"18","ME49","53","1","1","0.0234365316467974","0.0181632605733816","0","0","0.00376260116427629","0.00376260116427629"
"19","ME6","601","1","1","0.756531224967286","0.68692560111687","0","0","0.0426664773534006","0.0426664773534006"
"20","ME15","200","1","1","0.225124337499065","0.18363046844538","0","0","0.0141984949595343","0.0141984949595343"
"21","ME44","61","0","0","0.239684162884158","0.212708485570755","0","0","0.00433054096265795","0.00433054096265795"
"22","ME14","204","2","1","0.0631715563338872","0.189265438455227","0","0","0.0144824648587246","0.0144824648587246"
"23","ME19","175","2","1","0.0435171330527258","0.149106797477139","0","0","0.0124236830895922","0.0124236830895922"
"24","ME55","45","0","0","0.18293081984181","0.161655683280533","0","0","0.00319466136589563","0.00319466136589563"
"25","ME57","40","0","2","0.164355123598484","0.000502414384381256","0","0","0.00283969899190673","0.00283969899190673"
"26","ME1","1210","11","7","0.00669544051612436","0.096261181165393","0","0","0.0859008945051817","0.0859008945051817"
"27","ME16","200","4","1","0.00197956965756074","0.18363046844538","0","0","0.0141984949595343","0.0141984949595343"
"28","ME24","120","1","1","0.100572296737036","0.0798397477143731","0","0","0.00851909697572062","0.00851909697572062"
"29","ME51","51","0","0","0.204685833587683","0.181170450490405","0","0","0.00362061621468157","0.00362061621468157"
