nodeName	altName	nodeAttr.nodesPresent...
GB40053	413550	3
GB40058	NA	3
GB40066	NA	3
GB40079	NA	3
GB40080	NA	3
GB40092	100578090	3
GB40093	100578023	3
GB40103	NA	3
GB40110	100577222	3
GB40116	NA	3
GB40118	408432	3
GB40128	726547	3
GB40129	NA	3
GB40130	NA	3
GB40135	726391	3
GB40136	NA	3
GB40137	726352	3
GB40138	726329	3
GB40139	408428	3
GB40142	100577543	3
GB40144	NA	3
GB40147	100577696	3
GB40150	408423	3
GB40154	NA	3
GB40160	NA	3
GB40184	100576282	3
GB40229	NA	3
GB40230	NA	3
GB40231	551490	3
GB40241	NA	3
GB40256	NA	3
GB40258	NA	3
GB40265	726399	3
GB40293	NA	3
GB40298	NA	3
GB40330	NA	3
GB40333	NA	3
GB40334	NA	3
GB40344	552242	3
GB40347	NA	3
GB40370	NA	3
GB40375	NA	3
GB40407	725020	3
GB40521	100578337	3
GB40541	409089	3
GB40572	NA	3
GB40604	725353	3
GB40605	NA	3
GB40611	725085	3
GB40615	NA	3
GB40621	NA	3
GB40624	410365	3
GB40625	551737	3
GB40626	NA	3
GB40630	NA	3
GB40643	NA	3
GB40648	724292	3
GB40659	NA	3
GB40666	100577813	3
GB40667	NA	3
GB40668	NA	3
GB40680	NA	3
GB40692	NA	3
GB40916	408824	3
GB40917	NA	3
GB40921	NA	3
GB40967	408930	3
GB40973	411220	3
GB40974	NA	3
GB40975	406124	3
GB40996	NA	3
GB41001	NA	3
GB41003	NA	3
GB41088	NA	3
GB41094	724655	3
GB41115	411693	3
GB41184	NA	3
GB41186	NA	3
GB41217	NA	3
GB41242	410916	3
GB41276	100578417	3
GB41289	411664	3
GB41296	100578542	3
GB41302	726703	3
GB41330	552741	3
GB41338	411830	3
GB41355	NA	3
GB41399	411358	3
GB41414	411176	3
GB41436	NA	3
GB41460	100576517	3
GB41479	NA	3
GB41513	NA	3
GB41520	411175	3
GB41526	NA	3
GB41557	NA	3
GB41559	NA	3
GB41560	NA	3
GB41568	NA	3
GB41572	NA	3
GB41613	NA	3
GB41620	NA	3
GB41621	NA	3
GB41623	100577362	3
GB41635	100578935	3
GB41639	727238	3
GB41645	413569	3
GB41660	NA	3
GB41661	727335	3
GB41696	NA	3
GB41698	410563	3
GB41705	NA	3
GB41712	NA	3
GB41719	727135	3
GB41728	100577632	3
GB41731	100576251	3
GB41743	NA	3
GB41749	NA	3
GB41784	NA	3
GB41812	NA	3
GB41845	411820	3
GB41856	406104	3
GB41861	NA	3
GB41913	NA	3
GB41944	NA	3
GB41955	NA	3
GB41960	NA	3
GB41962	100577283	3
GB41963	NA	3
GB41964	NA	3
GB41967	100576746	3
GB41994	NA	3
GB41995	NA	3
GB41996	NA	3
GB41999	NA	3
GB42040	NA	3
GB42057	NA	3
GB42063	NA	3
GB42070	NA	3
GB42359	552224	3
GB42369	NA	3
GB42387	NA	3
GB42421	NA	3
GB42434	100577156	3
GB42438	NA	3
GB42439	NA	3
GB42440	NA	3
GB42442	NA	3
GB42462	NA	3
GB42463	NA	3
GB42464	NA	3
GB42504	NA	3
GB42506	NA	3
GB42510	NA	3
GB42530	NA	3
GB42533	100578137	3
GB42536	NA	3
GB42541	413383	3
GB42548	411748	3
GB42552	100577098	3
GB42576	726106	3
GB42590	NA	3
GB42592	411315	3
GB42594	100578664	3
GB42599	724664	3
GB42603	409003	3
GB42604	409006	3
GB42605	NA	3
GB42606	411323	3
GB42609	NA	3
GB42617	NA	3
GB42618	NA	3
GB42620	100578512	3
GB42622	NA	3
GB42623	NA	3
GB42625	NA	3
GB42640	726288	3
GB42641	NA	3
GB42644	406153	3
GB42671	552340	3
GB42708	409804	3
GB42727	NA	3
GB42735	724520	3
GB42758	724315	3
GB42763	NA	3
GB42765	NA	3
GB42831	NA	3
GB42832	NA	3
GB42833	NA	3
GB42834	NA	3
GB42849	NA	3
GB42851	100578227	3
GB42852	NA	3
GB42858	NA	3
GB42866	409012	3
GB42867	NA	3
GB42869	NA	3
GB42882	NA	3
GB42884	724358	3
GB42886	NA	3
GB42901	NA	3
GB42903	100576192	3
GB42906	NA	3
GB42907	725903	3
GB42908	NA	3
