fromNode	toNode	weight	direction	fromAltName	toAltName
GB40506	GB41203	0.0209182795724759	undirected	NA	725932
GB40506	GB41595	0.0230108335804094	undirected	NA	NA
GB40506	GB41695	0.055223641400687	undirected	NA	727284
GB40506	GB41785	0.0341662773575944	undirected	NA	100577332
GB40506	GB42377	0.04065138086714	undirected	NA	100577214
GB40506	GB42422	0.0298021848075828	undirected	NA	406075
GB40506	GB42482	0.0279940983928382	undirected	NA	412810
GB40506	GB42551	0.0231128936345374	undirected	NA	551437
GB40506	GB43057	0.0271618593115817	undirected	NA	NA
GB40506	GB43456	0.0449408736375686	undirected	NA	410902
GB40506	GB44002	0.0355076744282534	undirected	NA	410038
GB40506	GB44073	0.0364991390176514	undirected	NA	410997
GB40506	GB44099	0.0213589438771637	undirected	NA	726827
GB40506	GB44842	0.0471808915456063	undirected	NA	409024
GB40506	GB44858	0.0360796422817384	undirected	NA	NA
GB40506	GB45220	0.0341509292513488	undirected	NA	411457
GB40506	GB45937	0.084055076962827	undirected	NA	408563
GB40506	GB46564	0.0663020397329366	undirected	NA	409051
GB40506	GB47303	0.0431804944056407	undirected	NA	409203
GB40506	GB47581	0.0512681303372778	undirected	NA	NA
GB40506	GB47582	0.0564535246688017	undirected	NA	NA
GB40506	GB47584	0.068314508908834	undirected	NA	409655
GB40506	GB48785	0.0296355835334649	undirected	NA	NA
GB40506	GB49991	0.0703030468735082	undirected	NA	NA
GB40506	GB50442	0.0303546062313309	undirected	NA	100577562
GB40506	GB50586	0.0403287615571863	undirected	NA	410624
GB40506	GB50874	0.0248991769992463	undirected	NA	551360
GB40506	GB51337	0.0447055877873157	undirected	NA	725928
GB40506	GB52025	0.0215846257848122	undirected	NA	410380
GB40506	GB53070	0.0258744132076648	undirected	NA	408766
GB40506	GB53142	0.0441109424100128	undirected	NA	100578557
GB40506	GB53779	0.0507254109378001	undirected	NA	100578177
GB40506	GB53791	0.063171743573608	undirected	NA	726210
GB40506	GB54294	0.0318841396533353	undirected	NA	408299
GB40506	GB54645	0.0249798120084105	undirected	NA	NA
GB40506	GB55378	0.0247463632854798	undirected	NA	551167
GB40506	GB55547	0.0580491208435176	undirected	NA	408658
GB40506	GB55591	0.0353843124367012	undirected	NA	408677
GB40506	GB55664	0.0352556930132192	undirected	NA	NA
GB40506	GB55885	0.0228020127149603	undirected	NA	NA
GB40506	GB55912	0.0365577694203072	undirected	NA	NA
GB41203	GB41595	0.0231936196772245	undirected	725932	NA
GB41203	GB41785	0.0329473900400674	undirected	725932	100577332
GB41203	GB42422	0.0659253395978205	undirected	725932	406075
GB41203	GB42482	0.034321573005103	undirected	725932	412810
GB41203	GB42551	0.0292390212596165	undirected	725932	551437
GB41203	GB43057	0.0258802115046215	undirected	725932	NA
GB41203	GB43456	0.0344050191239069	undirected	725932	410902
GB41203	GB43584	0.0296000278848901	undirected	725932	100577682
GB41203	GB44002	0.0353380257466294	undirected	725932	410038
GB41203	GB44073	0.0560818307056325	undirected	725932	410997
GB41203	GB44099	0.0288475187445048	undirected	725932	726827
GB41203	GB44842	0.0506698565825781	undirected	725932	409024
GB41203	GB44858	0.0439386081419049	undirected	725932	NA
GB41203	GB45220	0.0764368241896679	undirected	725932	411457
GB41203	GB45937	0.0549949463529085	undirected	725932	408563
GB41203	GB46564	0.0775298530458075	undirected	725932	409051
GB41203	GB47217	0.0523031450707396	undirected	725932	412591
GB41203	GB47303	0.089302093194579	undirected	725932	409203
GB41203	GB47581	0.0469717340924727	undirected	725932	NA
GB41203	GB47582	0.0441781481252389	undirected	725932	NA
GB41203	GB47584	0.0670378013596968	undirected	725932	409655
GB41203	GB48785	0.0482079331865463	undirected	725932	NA
GB41203	GB49991	0.0396018430756831	undirected	725932	NA
GB41203	GB50179	0.0279618551080119	undirected	725932	726978
GB41203	GB50442	0.0306529849467242	undirected	725932	100577562
GB41203	GB50874	0.0377639691747523	undirected	725932	551360
GB41203	GB51337	0.042025352296702	undirected	725932	725928
GB41203	GB52025	0.0402129169470342	undirected	725932	410380
GB41203	GB53070	0.0455221782116922	undirected	725932	408766
GB41203	GB53142	0.033497266877647	undirected	725932	100578557
GB41203	GB53779	0.0367015677079171	undirected	725932	100578177
GB41203	GB53791	0.0881313719298172	undirected	725932	726210
GB41203	GB54294	0.0321660824722298	undirected	725932	408299
GB41203	GB55547	0.0349291096938523	undirected	725932	408658
GB41203	GB55591	0.0536312965475013	undirected	725932	408677
GB41203	GB55620	0.0266564877701653	undirected	725932	NA
GB41203	GB55664	0.0230277583984535	undirected	725932	NA
GB41203	GB55885	0.035535689839709	undirected	725932	NA
GB41203	GB55912	0.0403833884746678	undirected	725932	NA
