""	X8751ID	X8756ID	X875aID	X8827ID	X882gID	X882kID	X882mID	X888eID	X888qID	X888uID	X894cID	X894fID	X894iID	X8751IQ	X8756IQ	X875aIQ	X8827IQ	X882gIQ	X882kIQ	X882mIQ	X888eIQ	X888qIQ	X888uIQ	X894cIQ	X894fIQ	X894iIQ
GB40001	0	0	0	0	0	0	0	0	13	7	0	1	0	0	0	2	1	0	0	0	0	0	0	1	3	0
GB40002	6	4	11	5	2	4	0	0	0	1	11	2	9	8	2	4	0	0	2	5	0	9	0	16	0	0
GB40006	92	59	60	153	149	18	58	45	54	95	50	50	107	85	59	59	150	151	8	43	51	58	90	50	48	108
GB40007	474	357	345	722	672	100	204	208	304	623	299	190	444	420	338	298	685	584	48	169	180	291	488	190	115	398
GB40008	833	846	1090	877	1325	1073	1719	315	1322	833	1650	1669	774	870	846	1029	793	1257	985	1533	296	1309	648	1496	1467	740
GB40009	3168	3725	2448	2338	4486	4259	1597	447	1542	1372	4936	3884	1511	2258	3037	1931	2082	3639	2850	1314	135	480	1193	3187	2725	1401
GB40010	2569	3059	4702	2466	2994	3623	3343	703	2593	1541	4328	5029	1390	2343	2892	4385	2253	2681	2963	3033	762	2833	1400	3595	4443	1231
GB40016	20	52	159	2	19	6	13	4	43	11	20	106	7	21	48	159	1	17	4	16	1	28	7	11	85	8
GB40020	31	87	122	5	23	26	30	59	100	4	98	42	17	27	76	121	9	18	24	0	0	12	4	98	42	17
GB40021	850	696	74	232	344	253	112	658	85	120	616	608	307	724	546	63	323	413	345	43	164	24	150	527	513	251
GB40022	2	13	97	7	7	8	7	2	20	3	16	9	2	2	13	97	1	5	7	1	0	0	0	16	9	2
GB40025	1	2	2	1	0	0	0	1	0	0	1	0	0	2	1	3	0	2	3	1	0	1	0	2	1	0
GB40026	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0
GB40027	9	5	17	4	1	8	10	3	44	1	24	7	3	9	5	16	2	0	4	1	0	3	1	22	6	1
GB40028	850	703	75	232	344	257	113	661	85	121	627	616	307	724	553	64	323	413	349	44	167	24	151	538	540	251
GB40030	5	22	27	2	9	6	2	3	14	0	24	11	4	1	11	26	0	8	7	0	0	11	0	24	11	4
GB40033	8	28	23	5	4	20	15	8	19	4	35	30	6	8	28	23	5	4	20	15	8	19	4	35	30	6
GB40053	2	1	0	0	1	1	0	0	0	0	1	1	0	0	19	13	0	0	2	2	5	17	0	1	1	0
GB40061	1774	2502	7169	1357	1300	1282	2148	431	1640	341	1797	1786	371	1712	2478	7135	1402	1194	2434	2199	404	1620	322	2073	1936	652
GB40064	0	5	2	0	0	0	4	0	0	0	1	3	0	0	5	2	0	0	5	2	0	0	0	1	3	0
GB40066	8	82	50	8	10	12	6	4	51	2	17	23	2	10	101	26	9	9	5	3	3	53	4	16	19	2
GB40069	45	89	190	55	109	143	182	32	61	33	340	215	35	47	56	165	57	129	154	193	27	61	32	377	216	35
GB40072	35	96	267	60	56	123	158	37	129	18	131	177	36	35	96	267	60	56	123	158	37	129	18	131	177	36
GB40074	99	225	942	35	179	192	171	53	202	26	315	180	25	72	193	897	38	185	216	166	50	190	25	305	171	9
GB40076	397	301	531	408	473	721	1288	278	937	278	1023	1436	256	456	249	462	348	398	778	1099	276	929	274	849	1268	232
GB40077	5167	13369	4442	3788	7149	6362	12869	2615	7592	2394	8021	22283	2092	5157	13546	4288	3672	6939	6401	12798	2484	7649	2483	8356	17035	2173
GB40079	16	0	21	4	21	16	0	12	0	0	19	17	0	16	0	21	4	13	16	12	24	4	8	22	8	0
GB40080	162	6	227	138	85	41	32	129	3	6	96	165	0	161	10	222	136	6	44	192	250	44	86	133	84	0
GB40081	0	16	32	0	0	20	15	0	0	0	15	5	0	0	16	32	0	0	20	15	0	0	0	15	5	0
GB40086	108	133	312	189	117	59	101	70	271	35	197	174	7	91	125	297	186	114	84	97	72	277	29	182	162	2
GB40087	304	253	531	141	105	137	78	24	202	104	434	121	107	311	251	534	114	49	124	74	54	231	59	434	113	109
GB40088	20	17	37	7	2	7	4	0	12	3	32	8	5	20	17	37	7	2	7	4	3	16	2	30	9	5
GB40089	445	644	1906	196	204	240	332	107	812	279	1050	532	205	457	631	1898	197	200	248	345	144	870	260	1044	531	205
GB40090	52	41	48	23	31	4	10	20	25	2	60	10	28	51	41	49	0	0	2	8	5	3	5	31	3	12
GB40091	137	144	322	65	75	125	158	19	56	63	229	233	31	50	131	322	53	55	144	167	20	85	55	221	178	36
GB40092	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	8	0	0	2	0	0	2	0	2	2	0
GB40095	160	864	837	145	453	478	359	43	580	41	497	462	140	141	835	817	138	464	483	362	10	536	35	479	449	129
GB40100	13	16	28	20	18	35	40	8	46	3	54	49	10	14	18	31	0	0	0	0	8	46	3	55	49	10
GB40108	736	942	2932	624	817	1447	2256	596	1521	360	1716	2179	387	704	944	2930	633	819	1400	2176	596	1624	360	1719	2178	390
GB40109	2143	2532	6553	2167	1481	3214	5245	2126	4511	978	3629	3262	665	2077	2367	6279	2170	1483	3202	5227	2202	4660	931	3655	3303	632
GB40110	58	34	79	36	56	39	124	13	137	22	95	52	1	47	22	72	34	55	42	112	16	137	22	86	52	5
GB40112	19	28	44	34	29	58	78	12	53	6	95	89	18	21	27	44	8	9	16	26	15	51	6	88	87	17
GB40114	5	4	3	1	4	3	3	4	5	2	7	5	0	2	2	2	1	4	3	3	4	5	2	7	5	0
GB40115	1	3	22	0	0	2	2	4	1	6	2	3	0	3	2	20	1	0	3	0	2	0	7	0	1	1
GB40119	24	9	4	8	4	9	11	0	0	11	19	29	6	24	9	4	7	11	21	7	37	6	0	23	20	4
GB40124	73	79	212	39	53	105	133	2	5	39	161	191	17	15	72	211	50	50	125	142	6	34	34	167	138	22
GB40125	3	10	12	5	1	6	6	1	5	2	14	8	0	3	10	12	0	0	7	10	1	3	2	10	3	0
GB40126	396	258	1464	340	396	402	783	2	13	79	639	355	249	400	252	1465	338	400	400	790	45	254	85	638	358	247
GB40128	501	850	2014	485	665	732	549	294	1349	335	810	641	247	500	847	2016	482	649	715	551	288	1341	332	803	647	245
GB40132	3101	3310	7412	4941	3750	1269	3383	1509	6797	1289	4271	4063	500	3004	3251	7267	4833	3663	1319	3500	1548	6872	1235	4145	3966	444
GB40133	64	119	314	68	66	65	78	40	233	63	151	106	51	64	118	310	68	65	67	80	40	233	63	151	106	51
GB40134	18060	25629	39681	12376	17194	16872	11935	8152	27856	12496	26275	23298	7978	17422	24775	38879	10136	13400	12614	12966	8599	29873	12162	25201	20490	7670
GB40135	44	50	232	44	9	100	82	4	44	7	191	169	25	39	43	198	21	10	111	91	4	47	6	130	117	7
GB40136	3	11	68	4	31	10	5	23	9	71	902	87	74	4	13	63	3	46	15	13	32	13	72	905	39	62
GB40137	1	0	0	0	2	2	1	0	15	23	53	5	6	0	1	0	0	10	2	0	3	370	33	115	1	6
GB40138	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	2	6	2	3	0	1	3	2	0
GB40140	342	716	1327	680	499	663	487	233	612	350	1305	1208	342	303	622	1106	319	253	302	461	286	639	264	1178	1093	298
GB40141	38	100	11	14	15	5	5	28	4	6	63	91	19	57	100	11	7	8	5	13	42	8	8	8	1	3
GB40142	0	48	73	0	2	41	27	4	0	0	37	11	2	0	48	73	0	0	67	31	4	1	0	37	11	2
GB40144	13	6	66	21	4	27	11	0	11	0	52	15	4	13	8	63	21	2	3	2	0	4	0	47	16	5
GB40145	56	135	83	48	39	94	123	42	107	26	107	151	10	33	47	57	40	18	55	81	37	81	13	92	170	4
GB40147	2	0	2	0	1	7	2	1	2	2	0	2	0	2	1	2	0	0	1	2	1	1	2	1	5	1
GB40148	30	563	856	26	241	852	345	96	351	115	946	307	40	27	525	787	25	223	919	323	84	282	97	960	317	39
GB40150	807	1159	1569	399	385	846	508	514	1133	533	729	1721	668	814	1189	1522	431	418	889	475	498	1123	538	716	1665	670
GB40153	3	8	23	0	1	2	4	2	0	5	7	11	0	5	9	24	1	0	3	2	0	2	1	5	12	2
GB40154	37	65	147	9	6	20	21	6	14	37	42	68	6	33	63	144	13	9	28	8	0	21	9	49	56	12
GB40155	49	74	65	30	45	24	23	14	35	19	51	25	11	33	86	73	28	44	48	32	17	41	15	106	45	24
GB40158	7	16	54	2	1	33	22	1	28	6	42	14	7	10	8	42	1	1	36	20	1	15	7	58	23	5
GB40159	3	15	74	1	2	1	13	0	8	0	6	3	2	0	0	1	0	2	0	12	1	5	1	0	2	0
GB40160	11	24	73	6	9	30	28	9	13	9	30	34	7	10	23	70	6	9	30	28	9	13	9	30	34	6
GB40166	155	209	277	118	115	140	151	1	66	63	308	255	78	0	0	0	1	2	116	152	1	66	63	309	255	78
GB40169	1	5	13	0	0	1	0	0	2	1	4	12	0	1	4	6	0	0	0	0	0	2	1	4	12	0
GB40172	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	3	29	26	0	1	6	3	38	5	2	17
GB40176	0	0	0	0	0	2	0	1	0	1	0	2	0	0	2	6	0	0	0	1	1	1	2	0	3	0
GB40212	0	14	16	3	0	13	5	0	20	0	7	5	4	2	14	15	2	5	15	15	4	20	0	10	10	4
GB40213	0	18	21	0	0	6	6	0	6	0	6	0	6	0	18	21	0	0	6	6	0	12	0	6	0	6
GB40216	6	11	6	1	2	6	3	5	1	3	9	2	0	2	1	1	0	3	0	0	1	0	0	3	1	0
GB40218	13	17	17	25	36	53	58	2	2	5	15	37	2	11	31	20	22	31	52	55	2	1	5	5	33	0
GB40219	10	0	12	0	0	7	10	14	9	4	0	0	0	11	0	12	0	0	7	9	14	9	4	0	0	0
GB40221	0	0	0	0	0	2	0	3	5	2	0	1	1	3	0	2	0	4	1	0	2	5	3	1	2	0
GB40227	0	0	1	0	3	0	0	0	0	0	5	3	1	0	0	1	0	3	0	0	0	1	0	3	4	0
GB40229	0	62	71	0	0	29	20	1	20	0	21	1	20	0	60	70	0	0	26	30	1	40	0	20	0	20
GB40230	27	159	174	5	6	68	53	6	45	1	48	9	49	27	158	163	12	5	67	48	9	90	1	46	12	54
GB40231	0	0	8	3	2	3	7	1	6	1	2	9	0	0	3	4	3	2	3	7	1	6	1	1	9	0
GB40233	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	1	0	0	3	2	0
GB40234	1	0	2	11	10	43	37	2	17	0	18	20	7	5	9	14	5	6	17	14	2	1	0	8	6	2
GB40243	2	4	8	1	1	6	0	0	6	1	5	4	1	2	4	9	1	1	6	0	0	5	1	5	4	1
GB40258	0	1	0	0	0	2	4	1	1	1	1	1	1	2	1	1	0	0	3	4	1	1	1	0	0	0
GB40263	63	55	145	14	33	16	48	33	71	13	51	65	17	63	55	145	14	33	15	49	33	71	13	51	64	18
GB40273	18	15	11	36	36	120	109	14	31	9	57	81	11	12	47	14	38	23	85	104	14	30	2	95	154	15
GB40278	795	920	1869	1028	940	2445	4989	764	2562	246	2404	3996	514	509	895	1185	1022	948	2463	4959	608	1928	200	2357	3961	509
GB40279	2	0	0	3	1	2	1	0	3	0	0	1	0	2	0	0	1	1	2	1	0	1	0	0	0	0
GB40280	233	322	361	366	317	570	694	206	304	123	404	780	74	189	317	280	247	282	398	680	54	85	52	130	231	40
GB40281	49	52	212	35	58	10	24	0	17	8	9	5	6	8	9	53	2	16	2	5	4	24	19	9	5	6
GB40282	10	10	32	6	30	7	5	4	7	12	14	7	12	8	6	27	5	35	10	8	4	5	11	7	2	0
GB40283	19	45	85	47	42	20	31	16	50	46	42	64	0	20	34	65	45	40	15	41	12	42	42	44	61	20
GB40284	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	0
GB40286	0	4	0	2	8	1	63	1	2	0	14	296	13	0	4	0	2	6	2	49	0	0	0	8	208	11
GB40287	46	156	198	37	55	95	50	73	25	14	100	61	12	46	156	198	72	16	110	17	66	21	15	72	49	17
GB40288	21	120	13	0	10	4	3	50	32	0	6	3	1	34	165	68	2	6	45	2	71	17	14	1	0	0
GB40290	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	4	0	0	2
GB40293	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0
GB40294	3	3	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
GB40298	1	0	0	0	0	0	0	0	1	0	0	0	0	0	27	31	3	11	66	6	5	44	27	10	31	5
GB40299	0	3	4	0	0	2	0	1	0	0	0	0	0	0	3	4	0	0	2	0	0	0	0	0	1	0
GB40306	1702	1876	1219	1629	1445	2823	3743	1034	1886	460	4102	6872	395	1702	1868	1220	1629	1444	2822	3743	1034	1886	460	4095	6855	392
GB40310	0	2	2	0	0	0	2	2	0	0	2	3	0	0	2	2	0	0	0	2	2	0	0	2	3	0
GB40316	158	189	170	85	148	76	209	44	153	63	329	200	83	156	189	171	86	148	76	207	53	242	51	321	204	83
GB40318	129	167	522	105	108	116	203	66	291	108	221	246	58	128	167	522	105	108	116	203	66	291	108	221	246	58
GB40333	51	90	801	135	134	71	48	98	263	169	318	19	69	51	86	859	129	131	70	49	97	255	159	296	14	71
GB40334	0	3	16	2	3	0	2	2	3	4	6	7	2	0	1	13	0	3	0	3	2	2	4	4	1	2
GB40335	115	256	287	191	184	426	542	141	236	49	291	819	136	117	256	287	191	184	426	544	139	236	49	293	819	136
GB40336	74	138	85	69	115	141	304	66	118	28	253	422	102	52	148	66	77	0	104	0	66	118	28	219	379	87
GB40346	0	2	3	0	0	0	0	0	0	3	2	0	0	0	2	3	0	0	0	0	0	0	3	2	0	0
GB40347	0	1	11	3	1	6	0	0	1	0	4	7	0	0	0	2	3	1	5	0	0	5	0	4	6	0
GB40351	546	304	1029	576	509	17	339	3	345	228	141	356	68	424	189	1196	692	402	13	297	8	297	235	242	246	70
GB40367	1	13	6	2	2	4	11	1	10	1	20	11	0	1	13	6	4	2	4	11	3	10	3	2	11	3
GB40369	0	7	6	20	1	43	33	5	16	6	60	44	5	0	6	6	21	1	40	29	5	17	3	59	42	5
GB40370	1	2	3	2	3	22	12	8	41	0	24	50	8	1	2	3	0	0	24	12	8	43	0	30	62	12
GB40372	2	4	49	1	3	5	9	0	8	0	14	8	0	1	2	15	3	0	0	0	0	8	0	14	8	0
GB40375	13	13	14	7	5	7	11	8	17	3	14	38	2	12	14	16	6	4	3	10	6	16	3	15	37	1
GB40403	33	31	31	18	14	7	3	11	35	18	35	25	8	39	29	36	20	15	14	2	11	35	18	35	25	8
GB40408	0	3	2	0	0	1	1	0	0	0	0	2	0	0	3	2	0	0	1	1	0	0	0	0	3	0
GB40421	41	21	44	18	9	10	18	17	29	9	44	17	8	45	25	43	18	7	9	18	14	30	10	38	16	6
GB40432	540	431	1532	334	349	372	609	256	617	164	469	490	148	540	431	1551	334	349	338	609	256	617	163	469	490	148
GB40435	3	7	6	3	0	9	7	5	5	0	11	2	0	3	7	6	1	0	0	4	5	5	0	11	2	0
GB40437	4	7	10	3	2	2	6	3	6	0	9	7	1	9	30	95	17	6	7	30	5	39	7	39	47	8
GB40467	22	27	28	9	17	18	11	21	8	8	22	36	4	22	27	28	9	17	18	11	2	0	0	22	36	4
GB40468	0	1	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	2	1	0
GB40477	3	2	7	0	0	0	5	0	2	0	0	5	0	2	2	7	0	0	0	5	0	2	0	0	5	0
GB40479	22	17	14	8	11	11	6	7	9	7	28	17	0	22	17	13	8	11	11	6	0	0	0	28	17	0
GB40480	17	12	88	16	11	25	44	15	28	12	68	62	1	14	18	86	16	13	29	42	14	28	12	68	62	1
GB40504	0	17	76	10	21	15	19	7	41	10	28	24	10	1	12	62	13	19	18	19	6	36	11	27	24	10
GB40520	9	32	53	14	14	12	18	7	19	6	38	32	8	10	22	37	7	4	3	15	1	16	6	15	24	8
GB40521	125	115	208	59	38	13	106	71	175	62	134	355	19	117	99	161	59	37	22	109	62	157	62	135	351	12
GB40522	586	723	1522	174	765	601	483	280	373	383	166	382	101	587	711	1199	143	759	569	468	281	375	402	168	363	90
GB40523	96	216	495	32	59	159	44	40	38	76	113	153	21	98	200	496	11	42	109	17	42	39	76	109	141	16
GB40524	0	12	26	2	2	12	9	6	11	4	24	43	3	0	0	12	6	0	10	6	6	11	4	5	6	8
GB40525	4	11	18	0	12	21	9	5	21	1	27	29	0	4	10	18	0	11	21	9	5	21	1	27	29	0
GB40527	6	19	12	0	3	1	2	0	27	3	12	13	2	5	10	9	1	0	2	2	0	2	1	4	19	1
GB40529	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	2	0	0
GB40530	1	3	0	1	0	0	1	0	10	0	2	3	0	1	4	0	0	0	1	0	0	4	0	1	0	0
GB40531	57	341	368	500	269	281	99	15	98	24	477	608	183	64	307	360	491	259	298	116	48	172	12	348	517	39
GB40532	7	5	15	0	0	0	1	1	1	1	6	1	0	1	2	34	0	1	3	0	2	5	0	5	2	0
GB40550	22	18	48	0	0	0	8	0	14	22	38	54	4	26	6	34	3	0	8	12	0	14	22	4	16	4
GB40553	6	2	17	15	5	2	3	0	7	2	5	7	0	6	2	17	15	5	2	3	0	7	2	5	7	0
GB40554	540	302	1012	561	504	15	336	3	338	226	136	349	68	418	187	1179	677	397	11	294	8	290	233	237	239	70
GB40555	2	6	0	0	2	0	1	0	0	1	6	0	0	2	6	0	0	0	0	1	0	0	1	0	0	0
GB40563	42	106	131	30	23	64	38	22	9	20	108	95	5	42	106	131	30	23	64	38	22	9	20	107	95	5
GB40564	21	40	55	34	12	10	15	4	17	8	27	23	3	15	68	53	13	12	8	14	4	16	8	28	23	3
GB40565	1480	869	2511	235	307	227	512	444	1262	738	900	844	256	1163	856	2264	295	227	223	369	412	999	668	840	739	250
GB40566	176	420	604	204	152	214	646	196	722	86	502	1202	234	176	420	604	212	146	376	534	200	726	88	496	1220	238
GB40567	45	20	149	23	29	33	86	12	103	8	41	48	7	3	18	137	10	1	5	1	6	28	5	33	49	19
GB40581	1	4	6	0	2	0	1	2	1	0	14	1	0	1	4	6	0	2	0	1	2	1	0	10	1	0
GB40582	2	7	31	2	11	0	4	3	4	1	2	0	0	2	7	30	2	30	0	4	2	3	0	2	0	0
GB40583	42	59	202	5	40	21	18	5	53	23	22	21	21	43	59	203	6	39	21	18	7	52	20	22	22	22
GB40586	15	0	128	1	0	1	16	0	16	0	0	2	0	15	0	128	0	1	0	17	0	16	0	0	3	0
GB40593	453	477	993	135	209	179	190	58	98	17	716	163	137	471	445	981	131	399	148	186	61	106	26	658	204	132
GB40594	15	37	129	105	54	1	42	1	7	7	50	6	37	15	36	129	103	52	2	25	0	4	6	48	6	37
GB40598	2	0	52	0	0	9	11	1	0	9	25	2	0	0	0	21	0	0	10	11	1	0	9	25	2	0
GB40602	34	42	1218	17	30	15	29	20	49	595	42	36	183	26	30	1211	13	27	13	24	10	1795	302	25	19	10
GB40603	419	666	1087	421	401	493	724	217	1320	310	924	1299	183	361	628	947	376	391	519	697	151	1209	272	895	1247	172
GB40608	1490	1588	407	1493	1456	1670	4443	2219	5446	593	2604	3028	530	1381	1356	363	1492	1454	1671	4406	1777	3962	439	2395	2750	237
GB40609	12	2	5	68	25	56	101	3	73	18	104	69	26	10	11	4	72	34	54	122	8	99	20	128	80	27
GB40614	14	65	36	27	5	14	24	1	14	8	56	41	8	0	15	13	27	5	14	24	1	3	1	53	42	10
GB40615	2	162	96	41	21	17	49	0	97	21	39	11	8	3	144	96	41	20	17	48	1	97	11	39	13	8
GB40616	0	16	3	3	3	4	9	4	0	0	9	8	0	1	14	4	3	3	4	9	0	0	0	9	9	0
GB40617	0	42	13	1	18	3	25	5	16	1	28	42	2	0	17	11	1	17	2	25	3	38	0	36	6	2
GB40618	1	6	0	2	12	2	5	3	0	1	1	0	0	3	7	0	2	2	3	3	0	0	0	9	1	1
GB40619	1785	37657	26746	2433	4639	14583	10686	1072	9930	6044	8393	10296	842	673	11644	9222	2453	4644	14586	10689	1073	9919	6097	7898	9539	744
GB40624	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0
GB40625	29	29	21	6	14	12	11	16	14	4	19	9	7	29	28	21	6	14	12	11	1	7	3	8	0	8
GB40626	56	99	85	33	58	45	38	23	53	44	73	29	18	53	122	46	31	47	48	30	13	7	36	85	61	10
GB40629	6	7	8	7	8	7	5	6	4	0	4	28	4	6	4	6	6	7	8	7	0	1	0	2	15	8
GB40631	20	46	145	4	0	13	8	0	26	36	48	14	14	20	46	146	4	0	13	8	0	26	36	48	15	14
GB40632	0	2	4	0	0	0	2	0	0	5	7	0	0	3	2	2	0	0	0	2	0	3	4	7	0	0
GB40634	40	52	151	18	15	23	58	13	74	25	68	43	23	40	52	151	18	15	23	39	12	74	25	68	44	25
GB40635	8	71	75	61	127	179	105	15	36	10	154	339	36	27	96	12	67	150	188	105	45	71	14	158	336	36
GB40639	6	10	12	12	1	0	0	0	18	0	4	4	4	6	10	12	12	1	0	0	0	18	0	4	4	4
GB40640	10	12	14	15	4	0	4	0	18	0	10	7	4	9	12	12	15	4	0	4	0	18	0	8	7	4
GB40641	396	3146	109	815	940	2501	965	1994	994	1267	2077	3004	734	601	6779	755	738	670	862	950	92	241	198	1064	2750	369
GB40642	7	4	0	0	4	0	9	2	4	2	7	10	2	7	4	0	0	4	0	9	2	4	2	7	10	2
GB40643	18	9	27	3	0	0	9	0	13	3	30	18	9	19	9	28	3	0	0	9	1	13	3	30	18	9
GB40644	14	9	31	14	3	13	12	2	27	3	36	23	1	14	11	31	14	6	14	12	0	26	1	30	17	1
GB40645	1	3	8	5	0	5	3	0	10	0	14	6	0	1	3	5	5	0	5	2	0	10	0	14	6	0
GB40647	27	14	81	13	5	23	17	7	28	14	28	35	5	27	14	81	13	4	23	17	6	29	14	28	35	5
GB40648	121	78	327	77	47	104	132	57	161	58	124	162	22	121	78	330	79	47	107	132	58	159	58	124	162	22
GB40649	0	0	14	10	0	0	0	0	6	6	4	0	0	0	0	14	10	0	0	0	0	6	6	4	0	0
GB40651	1	0	26	0	0	2	0	0	5	0	2	2	2	1	0	25	0	0	2	0	0	5	0	2	2	2
GB40657	30	64	40	8	13	34	15	13	11	7	55	28	12	30	64	40	8	13	34	15	13	11	7	1	1	2
GB40662	37	2	97	16	37	17	8	26	10	36	34	48	28	33	1	98	21	9	25	22	19	15	32	31	47	28
GB40663	4	0	0	2	8	7	0	0	0	0	12	0	0	4	0	0	2	8	6	0	0	0	0	12	0	0
GB40670	1566	2952	2696	1958	1869	4609	3470	1041	4063	1183	3690	6092	1357	1566	2943	2691	1973	1929	4669	3468	1041	4065	1183	3686	6123	1354
GB40671	31	66	45	9	14	35	15	13	14	7	56	30	14	31	67	46	9	14	35	16	13	14	7	2	4	4
GB40677	183	24	1969	20	32	29	159	18	32	376	31	29	11	159	38	1960	15	28	25	159	6	12	375	36	24	12
GB40678	20	14	19	2	3	5	5	3	6	17	8	9	2	12	13	27	2	3	6	5	0	4	11	6	11	2
GB40679	287	190	633	253	85	337	363	48	525	157	656	375	18	306	203	637	251	78	336	358	50	531	159	650	377	16
GB40681	6	5	3	4	15	1	8	0	6	8	24	11	1	6	5	1	4	11	1	8	1	4	5	20	6	1
GB40682	2	2	0	2	4	0	4	0	0	0	6	4	0	2	2	0	2	4	0	4	0	0	0	5	3	0
GB40684	6	10	12	15	8	4	1	0	18	0	4	15	4	6	10	12	12	0	0	1	0	18	0	4	15	4
GB40687	1	2	4	0	2	1	3	1	1	0	2	7	1	2	1	2	1	1	3	3	0	0	0	2	7	1
GB40688	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	3	1	0	0	1	0	0	1	0	2	0
GB40689	0	1	0	0	0	0	0	0	2	0	1	1	1	0	1	0	0	0	0	0	0	2	0	1	1	1
GB40690	477	522	1862	191	186	136	212	127	924	439	699	514	277	472	525	1867	199	189	136	192	123	803	378	617	435	234
GB40691	3	16	1	3	9	4	0	6	0	0	24	4	1	5	13	0	3	9	4	0	10	0	0	22	4	1
GB40692	17	57	66	1	5	1	9	1	22	2	18	1	5	8	42	99	1	4	2	24	0	3	1	39	1	0
GB40693	1010	1819	6428	231	297	146	300	235	1116	957	1136	779	305	1002	1807	6426	117	407	435	298	234	1104	956	1117	772	305
GB40694	65	80	377	29	11	27	32	10	97	33	160	57	20	50	68	313	27	13	26	28	7	70	32	139	38	18
GB40699	3	9	19	2	3	0	0	1	0	0	1	6	2	0	2	1	2	3	0	0	1	0	0	1	6	2
GB40700	2	9	8	2	10	1	1	2	8	2	7	1	6	0	8	11	5	6	4	2	2	3	3	9	9	5
GB40701	1381	3319	3793	3127	2375	4185	9299	1426	5809	1148	6832	7475	1014	1355	3246	3784	1527	1122	2671	4443	1382	5717	1130	6687	7360	1006
GB40703	13	8	18	1	8	0	0	2	19	5	5	4	5	13	6	8	4	10	0	0	1	15	4	15	10	5
GB40704	1	3	1	0	3	5	0	1	1	1	8	7	0	0	0	1	0	3	5	0	1	1	1	8	7	0
GB40708	2492	4067	3066	1331	1869	3262	2527	2849	2002	686	4676	4228	938	2492	4067	3046	1324	1869	3262	2527	2814	2002	686	4676	4235	938
GB40711	2293	6268	8949	1993	2805	2858	3253	1585	3132	1345	4948	4700	1431	2368	3401	4755	983	1458	2837	3322	1586	3247	1283	4673	4606	749
GB40713	61	333	306	17	28	16	86	27	506	16	238	134	12	61	333	306	24	20	19	20	3	57	26	238	134	12
GB40714	26	155	574	3	41	182	4	3	113	13	138	33	10	28	122	388	2	3	179	7	2	115	14	170	26	8
GB40719	2	1	0	2	4	16	1	0	0	0	24	25	0	0	1	0	2	1	20	1	1	1	0	27	25	1
GB40726	56	56	121	58	35	60	54	31	38	16	71	98	34	58	40	88	57	36	53	54	14	47	8	66	96	28
GB40728	6	6	0	0	1	6	21	0	6	0	10	12	0	6	6	0	0	1	7	24	0	3	0	3	3	0
GB40730	0	1	0	3	1	0	0	0	18	0	6	1	0	0	0	0	0	0	3	0	0	18	0	6	0	0
GB40731	9	18	142	7	4	10	27	3	34	3	64	49	2	9	18	143	7	6	10	28	3	34	3	64	50	2
GB40732	0	4	5	0	2	0	0	0	0	2	0	5	1	0	6	5	0	0	0	0	0	0	2	0	5	1
GB40734	90	65	111	218	28	42	131	95	165	14	118	220	24	68	48	78	163	25	57	99	50	97	12	81	138	31
GB40735	1324	1272	348	121	84	275	144	544	381	110	608	782	142	1324	1271	348	280	298	477	333	544	381	110	16	9	0
GB40737	0	0	0	5	2	0	1	0	1	3	0	0	1	0	0	0	2	0	0	0	0	1	4	1	0	0
GB40740	37	37	51	22	47	56	26	9	54	8	115	67	9	30	11	54	33	54	67	45	12	51	7	70	91	13
GB40741	10	17	11	3	4	4	3	6	5	0	7	8	8	10	17	11	3	4	4	3	6	5	0	7	8	8
GB40743	38	85	194	17	19	35	24	8	102	11	106	88	8	38	85	194	0	1	0	56	5	76	8	106	88	8
GB40744	0	0	1	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1	1	0	0	2	1	0
GB40748	10	32	1	3	14	21	0	10	0	8	25	6	4	10	32	1	1	0	0	1	6	0	2	1	0	0
GB40749	5	0	15	0	1	0	0	2	0	1	9	2	3	5	0	15	0	2	0	0	0	0	1	9	2	3
GB40751	6	8	11	0	0	5	7	6	6	1	2	4	1	6	7	9	0	0	0	0	2	7	1	2	4	1
GB40752	1	2	3	0	2	1	0	0	1	0	0	1	0	1	4	2	0	2	0	0	0	0	0	0	6	0
