""	X8751ID	X8756ID	X875aID	X8827ID	X882gID	X882kID	X882mID	X888eID	X888qID	X888uID	X894cID	X894fID	X894iID	X8751IQ	X8756IQ	X875aIQ	X8827IQ	X882gIQ	X882kIQ	X882mIQ	X888eIQ	X888qIQ	X888uIQ	X894cIQ	X894fIQ	X894iIQ
GB49183	256	1090	670	134	282	1154	42	1606	184	243	1468	553	428	5	7	550	4	5	7	10	2	102	7	218	9	2
GB49184	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0
GB49187	0	0	0	1	2	0	0	0	0	0	2	4	0	0	0	0	1	2	0	0	0	0	0	0	2	0
GB49190	4	5	1	3	5	5	1	1	1	1	1	4	1	1	5	3	2	1	0	0	1	0	0	2	0	0
GB49193	65	60	47	22	41	37	13	16	16	14	40	25	2	67	63	38	24	58	32	14	9	11	12	40	41	2
GB49194	16	2	388	7	3	90	7	1	42	53	228	19	88	16	3	389	6	1	90	4	1	38	53	220	20	86
GB49195	3	2	37	21	0	0	1	0	1	0	16	1	0	10	3	37	9	0	1	0	1	1	0	15	4	0
GB49223	0	1	6	4	0	1	0	0	4	0	5	5	1	0	1	5	4	0	1	0	0	3	0	0	0	0
GB49224	1	13	25	15	17	8	31	11	18	1	17	8	6	6	12	24	15	17	8	31	3	8	2	0	15	0
GB49225	2	6	7	7	6	6	2	30	0	0	15	11	5	1	29	7	7	8	8	2	0	0	0	15	11	5
GB49231	58	41	131	38	46	61	75	4	49	59	110	49	29	52	31	111	31	42	69	37	4	47	57	96	40	29
GB49232	121	185	452	64	115	104	72	26	133	82	148	141	51	139	157	421	64	126	117	56	35	165	86	144	115	48
GB49233	305	364	634	244	272	375	301	45	202	117	351	247	75	321	355	606	177	143	186	170	45	222	117	4	2	1
GB49238	6	4	2	0	0	0	0	0	0	0	0	0	1	6	4	2	0	0	2	0	0	0	0	0	0	0
GB49239	12	0	4	2	5	1	9	4	1	3	7	5	1	20	0	4	1	4	1	6	4	1	3	6	5	0
GB49240	151	165	85	134	80	244	169	130	91	45	263	302	62	151	165	86	134	80	244	169	130	91	45	264	302	62
GB49246	3	3	4	3	3	1	0	1	2	3	2	2	1	2	2	4	0	0	0	0	0	2	1	2	1	2
GB49249	0	0	0	29	22	67	96	23	94	9	70	33	10	21	22	109	29	22	67	96	0	3	0	4	0	0
GB49258	39	3	78	0	1	2	2	0	39	2	1	3	7	41	3	82	0	1	2	2	0	41	2	3	3	7
GB49259	1101	822	2398	287	294	260	412	178	1552	421	918	531	157	914	802	1883	284	293	261	410	176	1550	420	897	508	153
GB49260	77	996	1077	332	271	383	877	194	1213	57	317	686	120	75	983	1079	337	272	381	875	209	1199	56	378	623	76
GB49268	968	1398	1348	689	889	753	1356	227	482	239	1603	2101	639	644	551	1113	355	352	803	1529	533	666	160	1607	2118	778
GB49269	3	4	1	2	3	11	3	4	0	2	4	7	0	5	10	2	1	1	5	0	0	1	3	3	2	1
GB49270	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	5	3	6	0	0	0	0
GB49271	0	0	43	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	3	3	0	0	0	0
GB49272	8	13	9	9	8	13	17	14	14	7	16	31	14	33	24	9	15	14	6	6	11	18	7	20	36	17
GB49273	74	243	727	32	65	73	132	133	304	245	141	181	75	87	243	910	28	63	54	130	123	284	242	212	90	93
GB49274	1	5	20	4	7	0	0	0	2	3	6	2	0	2	5	33	4	0	0	3	0	1	0	8	0	0
GB49275	45	91	167	59	82	183	185	49	192	31	228	224	47	41	90	185	47	76	134	178	39	158	30	227	228	49
GB49276	10	38	175	2	50	59	90	15	59	11	142	62	18	11	49	131	2	50	59	90	30	79	11	75	58	31
GB49280	3	22	119	24	8	15	14	0	1	6	10	5	0	23	1	76	5	7	15	14	6	1	6	16	5	0
GB49281	1	5	246	4	0	1	2	1	3	2	14	3	1	0	1	212	2	0	2	2	10	2	0	22	3	1
GB49282	1	4	112	5	10	8	19	2	20	14	6	31	0	0	4	120	5	10	8	18	6	20	14	11	31	0
GB49286	10	10	126	0	1	21	13	8	9	5	21	36	4	9	15	133	1	1	15	13	8	9	1	22	39	4
GB49287	1	3	7	0	0	0	4	0	0	1	1	6	0	0	1	7	0	0	0	2	0	0	1	0	2	0
GB49289	23	191	245	29	45	43	42	28	91	9	97	23	16	19	111	239	29	32	44	48	32	82	7	97	23	14
GB49290	25	1162	1123	265	186	386	521	199	728	29	214	263	57	32	1147	1193	272	194	403	527	192	747	39	348	171	20
GB49295	11	31	54	19	30	5	5	1	8	4	21	4	0	11	30	55	17	30	5	5	1	8	5	17	0	1
GB49296	28	45	49	13	11	23	16	14	25	12	52	42	7	26	44	50	13	11	23	15	14	25	11	52	42	7
GB49303	13	45	111	18	18	43	37	30	34	14	72	58	14	13	45	111	18	18	43	37	30	34	14	72	58	14
GB49309	128	98	120	86	52	88	42	37	56	51	87	128	31	120	92	121	81	55	93	40	39	58	50	85	115	27
GB49311	46	147	226	54	43	329	53	40	141	16	88	65	19	48	149	203	55	40	333	51	39	143	17	77	56	22
GB49313	348	542	1701	230	224	185	554	215	350	120	1002	991	175	348	537	1701	230	224	185	554	215	350	120	341	343	73
GB49315	0	0	5	0	2	0	2	0	0	3	9	0	3	0	0	5	0	2	0	2	0	0	3	0	0	0
GB49320	1265	3646	3189	622	1184	1397	1755	391	2082	1589	1993	2564	444	2272	6755	4919	797	1645	1006	2158	486	2411	1396	866	1550	171
GB49322	2	5	0	0	0	1	2	5	2	3	0	3	0	4	4	0	0	0	1	2	5	2	3	0	3	0
