"","ID","GeneID","GenbankID","OtherID"
"17272","rna17271","725596"," Genbank:XM_006561722.3","GB42840"
"17273","rna17272","725596"," Genbank:XM_006561724.3","GB42840"
"17274","rna17273","725596"," Genbank:XM_006561723.3","GB42840"
"17275","rna17274","725596"," Genbank:XM_001121422.5","GB42840"
"17276","rna17275","412714"," Genbank:XM_396167.7","GB42659"
"17277","rna17276","412714"," Genbank:XM_006561731.3","GB42659"
"17278","rna17277","412714"," Genbank:XM_006561729.3","GB42659"
"17279","rna17278","552345"," Genbank:XM_016914082.2","GB42656"
"17280","rna17279","552345"," Genbank:XM_006561727.3","GB42656"
"17281","rna17280","552345"," Genbank:XM_006561726.3","GB42656"
"17282","rna17281","102656893"," Genbank:XM_006561725.2)",""
"17283","rna17282","412025"," Genbank:XM_006561732.3","GB42841"
"17284","rna17283","409320"," Genbank:XM_392837.7","GB42654"
"17285","rna17284","552421"," Genbank:XM_026442791.1","GB42652"
"17286","rna17285","552421"," Genbank:XM_016914174.2","GB42652"
"17287","rna17286","552421"," Genbank:XR_409184.3","GB42652"
"17288","rna17287","552421"," Genbank:XR_409185.3","GB42652"
"17289","rna17288","552421"," Genbank:XM_624795.6","GB42652"
"17290","rna17289","552421"," Genbank:XM_026442790.1","GB42652"
"17291","rna17290","409217"," Genbank:XR_409186.3","GB42844"
"17292","rna17291","409217"," Genbank:XM_006561734.3","GB42844"
"17293","rna17292","409217"," Genbank:XM_006561735.3","GB42844"
"17294","rna17293","409217"," Genbank:XM_006561736.3","GB42844"
"17295","rna17294","113218987"," Genbank:XM_026442750.1)",""
"17296","rna17295","551523"," Genbank:XM_623918.6","GB42845"
"17297","rna17296","409279"," Genbank:XM_392800.7","GB42846"
"17298","rna17297","412784"," Genbank:XM_396237.6","GB42651"
"17299","rna17298","725938"," Genbank:XM_026443070.1","GB42847"
"17300","rna17299","725938"," Genbank:XM_026443068.1","GB42847"
"17301","rna17300","725938"," Genbank:XM_026443066.1","GB42847"
"17302","rna17301","725938"," Genbank:XM_026443067.1","GB42847"
"17303","rna17302","725938"," Genbank:XM_026443069.1","GB42847"
"17304","rna17303","551642"," Genbank:XM_624033.5","GB42650"
"17305","rna17304","726030"," Genbank:XM_006561739.2","GB42848"
"17306","rna17305","411837"," Genbank:XM_395304.6","GB42649"
"17307","rna17306","411837"," Genbank:XM_026443071.1","GB42649"
"17308","rna17307","726087"," Genbank:NM_001242522.1","GB42648"
"17309","rna17308","726077"," Genbank:XM_026443072.1","GB14293"
"17310","rna17309","411336"," Genbank:XM_006561741.3","GB42647"
"17311","rna17310","411336"," Genbank:XM_006561743.3","GB42647"
"17312","rna17311","411336"," Genbank:XM_006561740.3","GB42647"
"17313","rna17312","107965019","",""
"17314","rna17313","107965014","",""
"17315","rna17314","107965015","",""
"17316","rna17315","552173"," Genbank:XM_003249875.4","GB42645"
"17317","rna17316","726167"," Genbank:XM_006561746.3)",""
"17318","rna17317","726167"," Genbank:XM_006561745.3)",""
"17319","rna17318","726167"," Genbank:XM_006561747.3)",""
"17320","rna17319","406153"," Genbank:XM_006561502.3","GB42644"
"17321","rna17320","406153"," Genbank:XM_026442595.1","GB42644"
