""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB40001	0	0	0	1	0	0	18	75	121	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
GB40002	2	3	6	0	0	0	0	0	1	2	5	5	0	0	4	1	3	0	0	6	0	1	0	0
GB40006	63	30	31	15	16	33	37	52	63	52	52	44	55	33	29	16	15	23	35	52	63	52	51	38
GB40007	410	319	271	40	55	141	230	218	199	236	293	298	348	271	225	38	12	46	179	145	182	178	185	175
GB40008	535	129	1147	281	264	1301	582	588	326	1017	872	1197	491	106	1207	280	202	1129	536	539	340	980	755	969
GB40009	4900	48	4629	490	1104	4649	2215	1301	715	2386	4669	3538	4012	31	3882	446	753	2939	1962	1159	235	2315	2987	2478
GB40010	1974	260	3359	1250	801	2629	1897	2026	1583	2923	2541	3276	1855	244	3077	1163	742	2417	1652	1780	1321	2437	2043	2585
GB40015	0	7	1	0	0	4	2	7	0	0	0	1	0	7	1	0	0	3	4	4	0	0	0	0
GB40016	66	74	165	9	6	41	67	167	64	39	16	85	61	69	161	9	5	40	67	157	55	41	17	83
GB40020	21	70	76	20	26	71	36	46	17	46	37	64	20	67	70	30	2	4	34	40	30	46	37	64
GB40021	306	341	876	32	237	974	436	272	34	203	1002	521	240	326	706	44	51	233	485	334	68	157	831	421
GB40022	36	26	16	4	9	19	46	72	32	29	13	15	36	26	16	12	0	3	0	0	31	29	13	15
GB40025	0	0	7	1	0	0	2	0	0	2	0	0	0	1	14	0	0	0	10	6	0	4	6	0
GB40026	0	0	20	1	1	1	1	17	19	17	2	18	0	0	20	0	0	1	1	19	51	19	1	18
GB40027	7	9	24	10	3	16	1	16	11	17	6	16	5	7	23	4	0	4	6	12	14	15	6	13
GB40028	306	341	876	32	237	974	436	272	34	203	1002	521	240	326	706	44	51	233	485	334	68	157	831	421
GB40030	1	4	7	14	5	7	10	17	8	10	12	13	0	1	1	14	2	4	7	19	8	10	12	13
GB40033	12	21	35	18	14	39	48	24	19	31	35	14	12	21	35	17	14	39	48	24	19	31	35	14
GB40035	0	0	0	2	0	0	2	0	0	9	2	2	5	2	2	0	0	1	0	3	3	0	0	2
GB40053	0	5	2	0	0	1	2	2	3	2	0	1	1	33	10	1	0	1	0	0	0	2	0	1
GB40061	1729	804	4791	1292	765	1833	465	2278	2348	1680	646	1586	1651	795	4801	1516	871	2036	448	2264	2334	1934	787	1913
GB40064	0	0	3	0	0	1	0	1	2	0	2	2	0	0	3	0	0	0	0	1	2	0	2	2
GB40066	8	5	14	5	17	12	60	19	36	10	11	19	3	4	11	1	7	14	49	16	30	5	9	13
GB40069	99	59	376	79	63	123	88	90	34	61	69	167	94	45	280	84	60	122	79	80	35	70	64	154
GB40074	155	128	117	35	55	92	49	87	102	62	175	277	127	116	92	47	81	77	27	70	95	52	148	230
GB40076	121	595	651	121	104	1143	438	253	294	740	850	592	119	724	435	101	84	925	430	243	294	570	727	539
GB40077	559	5473	16265	3381	2343	11385	6900	5575	3135	6728	5252	8372	495	5427	11939	3312	1938	11278	5875	5870	3223	6813	5218	6225
GB40079	0	2	8	1	8	20	26	13	28	20	0	28	0	0	8	1	4	12	30	12	13	28	0	28
GB40080	18	14	116	4	80	158	239	169	183	199	1	286	17	17	114	5	40	82	277	210	109	320	3	80
GB40085	0	1	1	0	1	0	2	2	2	1	0	0	1	0	2	0	0	0	1	2	2	0	0	0
GB40086	131	124	181	41	54	90	154	163	100	188	113	153	116	99	175	46	52	98	150	162	96	177	107	148
GB40087	808	147	733	345	158	342	383	574	419	444	148	287	810	149	740	341	152	337	351	418	305	443	142	290
GB40088	52	7	52	25	12	22	28	34	30	30	8	18	52	7	52	25	11	22	26	23	22	30	8	18
GB40089	1059	132	912	700	240	479	496	728	710	634	195	468	1061	134	919	703	236	468	475	631	637	636	194	466
GB40090	67	31	50	9	15	67	24	20	18	12	43	32	67	31	50	4	0	2	2	26	28	11	18	16
GB40091	94	243	225	119	84	244	254	447	306	206	169	161	117	89	113	94	50	155	272	324	229	197	146	158
GB40092	0	0	2	1	0	4	0	6	4	0	2	0	0	0	8	1	0	7	0	6	4	0	2	0
GB40095	431	196	497	133	32	129	226	252	118	292	295	328	381	186	461	129	26	118	182	234	109	291	275	303
GB40100	8	0	20	21	13	88	13	13	6	49	20	48	9	0	22	0	0	0	13	13	6	49	20	48
GB40108	546	1667	1481	1429	686	2423	1761	2405	1729	1473	1531	1283	552	1626	1472	1419	700	2406	1762	2406	1730	1466	1514	1278
GB40109	1042	2402	3684	1861	660	2230	1839	3689	1787	2282	1709	1911	958	2398	3612	1847	657	2215	1812	3699	1810	2163	1667	1882
GB40110	20	33	74	3	4	136	34	22	44	44	59	27	14	29	63	6	5	124	37	21	44	43	57	30
GB40112	12	2	30	26	19	147	24	37	9	76	40	87	11	2	32	2	5	40	25	27	7	69	35	79
GB40115	0	2	1	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	1	1	0	0	1	1
GB40119	2	46	23	0	6	30	48	48	8	26	31	18	2	46	23	6	7	30	37	0	0	11	26	22
GB40124	65	168	156	72	54	171	180	268	227	162	138	96	90	38	56	56	44	136	192	190	173	159	118	115
GB40125	0	5	6	2	0	17	15	21	9	1	2	24	1	5	5	2	0	15	15	16	8	0	0	21
GB40126	373	1201	1361	1118	460	1011	602	583	403	383	333	590	369	1195	1364	1120	459	1017	679	925	439	366	339	587
GB40128	457	112	513	244	183	278	304	418	283	363	333	474	455	109	515	241	180	236	297	414	282	362	320	470
GB40132	2718	2203	3920	1209	1232	1960	3244	3916	2111	3431	2383	3552	2652	2011	3803	1217	1126	1912	3188	3845	2084	3340	2301	3502
GB40133	157	76	329	236	67	80	83	128	99	166	100	165	158	75	326	244	69	80	84	128	99	164	99	166
GB40134	22135	7773	56186	17370	8030	17864	16135	26005	12625	21942	14564	28184	21538	7753	54232	17742	5974	13934	15928	24889	12013	21201	13985	25184
GB40135	11	45	97	53	27	136	73	28	10	86	38	126	9	18	59	17	26	110	62	20	6	54	29	84
GB40136	60	142	4	19	24	39	2	23	52	1522	558	289	60	145	5	12	31	29	4	26	53	1529	619	127
GB40137	7	83	0	0	14	5	0	0	9	31	230	19	3	90	0	4	21	12	2	1	14	88	528	6
GB40138	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	4	0	1	2	1
GB40140	592	365	930	472	478	763	741	579	336	948	639	1165	503	317	860	214	239	344	629	466	259	859	542	1039
GB40141	27	118	94	1	8	53	100	53	6	12	59	78	27	118	94	0	9	30	0	55	10	3	15	0
GB40142	1	13	19	0	8	17	17	3	1	34	10	8	1	12	21	18	8	12	16	4	2	28	9	19
GB40144	24	11	73	0	8	56	66	11	18	64	29	37	14	12	67	3	0	47	64	21	10	65	11	15
GB40145	42	54	93	29	33	143	81	53	38	108	106	107	24	14	92	20	31	95	80	31	26	100	87	106
GB40147	1	0	1	1	1	1	5	1	6	1	2	1	0	1	3	1	1	0	0	0	1	0	2	0
GB40148	1822	37	2859	2059	1798	275	681	1263	469	17	35	140	1817	31	2662	2100	1741	262	637	1099	387	17	26	129
GB40150	653	306	1509	370	210	678	1313	1825	1444	829	1054	1161	641	282	1501	322	184	721	1278	1874	1450	812	1039	1154
GB40153	7	6	12	6	1	10	11	24	17	11	5	11	8	6	13	3	0	3	10	7	4	10	4	9
GB40154	61	56	68	39	4	78	69	160	123	65	32	77	52	51	61	27	3	41	67	52	41	78	33	68
GB40155	60	46	97	22	10	60	54	44	31	40	27	40	58	65	142	8	4	88	42	37	23	52	60	82
GB40158	26	25	54	50	9	58	54	62	26	35	30	31	19	18	25	45	10	49	36	112	53	10	22	53
GB40159	29	0	69	30	0	18	4	34	21	7	6	6	0	0	3	30	0	19	46	38	21	6	5	3
GB40160	32	32	38	27	16	54	73	60	36	53	34	21	32	31	37	27	15	53	72	60	36	53	34	21
GB40166	68	86	446	88	46	305	237	273	222	153	180	157	0	2	2	67	77	3	237	273	223	153	180	157
GB40169	4	7	26	1	0	4	7	11	10	5	3	8	2	6	12	1	0	1	5	11	9	9	3	5
GB40172	0	0	0	0	0	0	0	0	0	0	0	0	11	15	3	1	1	1	11	5	0	8	5	16
GB40176	0	2	2	0	0	0	0	1	1	1	1	0	0	0	21	6	1	0	8	4	5	12	2	4
GB40212	8	8	24	7	0	19	0	6	12	18	7	7	9	7	22	5	0	23	0	4	12	18	9	7
GB40214	0	0	1	0	2	0	2	0	0	0	1	2	0	0	1	0	1	0	2	0	0	0	0	0
GB40216	19	6	14	0	2	18	20	20	16	9	1	2	4	3	7	0	3	3	19	14	18	6	1	0
GB40218	27	26	26	5	4	81	20	9	4	18	17	46	6	31	36	4	3	67	23	15	13	5	18	5
GB40219	0	3	1	0	1	1	1	2	3	1	1	0	0	3	1	0	1	1	1	2	2	0	0	0
GB40221	1	2	0	0	1	1	3	5	0	1	2	0	1	4	3	0	4	4	5	2	1	1	5	1
GB40229	40	20	110	24	4	62	0	20	60	40	0	20	40	20	111	23	3	60	1	20	61	20	0	20
GB40230	57	22	131	20	7	68	4	23	64	24	7	21	54	22	126	29	7	51	1	18	58	23	7	26
GB40231	4	0	0	0	0	10	0	3	1	6	3	2	0	0	0	0	0	10	0	3	1	6	3	2
GB40234	0	0	1	5	3	24	8	9	3	21	19	23	4	4	16	3	4	6	1	0	0	14	11	15
GB40258	2	0	0	2	0	2	5	2	2	3	1	1	0	0	4	2	0	2	5	2	2	0	0	0
GB40263	12	2	14	5	7	19	23	22	19	8	16	20	12	2	14	5	5	13	22	22	19	8	15	17
GB40273	2	12	27	13	6	163	79	8	42	21	33	27	2	14	41	15	7	88	46	2	32	68	75	57
GB40278	260	467	1520	1350	695	3697	1267	1313	1007	2374	1571	1769	288	491	937	1345	699	3762	1173	1232	939	2350	1504	1739
GB40280	292	311	475	218	132	531	520	612	416	524	316	470	308	325	383	205	124	522	250	254	219	174	118	240
GB40281	123	56	190	35	26	31	13	27	35	21	5	16	29	14	39	5	7	7	40	65	52	21	5	12
GB40282	20	5	16	17	10	9	11	19	16	19	5	18	16	5	16	16	9	10	8	14	14	3	2	1
GB40283	38	51	39	9	6	22	30	18	10	15	13	40	32	47	27	5	4	19	24	25	12	32	22	54
GB40286	13	12	1	1858	328	541	8834	7873	1231	354	907	659	13	23	1	1674	310	463	5690	5305	976	240	596	792
GB40287	16	56	364	23	42	182	157	151	10	22	71	31	16	59	364	4	18	70	130	141	10	19	46	36
GB40288	2	32	107	1	1	12	37	12	2	1	9	0	10	82	159	0	1	1	69	35	6	0	1	4
GB40290	0	0	0	2	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB40294	3	2	1	0	2	1	3	2	0	2	0	0	0	0	3	0	2	6	0	0	0	2	0	0
GB40298	0	1	0	0	0	0	0	0	0	0	0	0	8	0	102	22	93	29	21	13	40	23	23	0
GB40306	333	191	373	230	153	637	936	812	357	1008	1335	1414	333	191	373	230	153	637	935	812	357	1016	1333	1395
GB40316	151	195	166	40	55	188	100	100	112	130	204	173	156	194	164	39	55	187	79	38	107	131	204	172
GB40318	721	86	168	300	88	291	296	420	621	301	146	186	740	86	168	300	88	291	296	420	621	301	146	186
GB40333	74	29	49	103	82	28	61	179	194	90	10	49	70	29	44	103	83	29	51	172	187	88	12	44
GB40334	1	5	0	2	20	3	4	5	4	8	2	0	1	1	4	4	0	0	3	1	5	2	2	6
GB40335	64	172	291	114	20	536	299	287	182	397	168	162	64	174	289	114	20	532	299	287	182	396	169	162
GB40336	35	90	133	45	14	411	250	210	72	206	182	133	45	83	141	0	11	306	250	209	53	183	155	122
GB40347	2	3	5	3	3	4	2	0	5	1	4	8	2	3	8	3	3	4	2	1	6	1	4	8
GB40351	457	350	298	332	337	345	400	445	171	858	299	249	564	292	288	332	335	410	472	519	231	960	353	290
GB40367	2	2	28	5	5	15	15	17	11	14	12	9	2	2	28	5	11	27	12	12	8	2	3	11
GB40369	8	12	5	21	5	12	19	4	13	32	4	14	7	10	6	18	7	12	17	4	14	32	4	14
GB40370	0	11	5	7	6	20	3	4	4	6	27	20	0	10	5	8	6	18	3	4	4	4	31	24
GB40372	0	5	6	0	1	2	9	1	8	5	4	7	0	0	0	1	1	2	8	1	10	5	4	7
GB40375	3	12	36	17	4	26	16	22	12	15	11	13	2	10	26	16	5	16	16	20	13	13	9	8
GB40403	25	12	20	10	10	27	43	72	36	50	20	34	19	17	16	13	12	28	43	72	36	48	20	34
GB40408	5	2	2	3	3	3	12	18	0	1	0	4	5	2	2	4	5	3	0	0	6	1	0	4
GB40421	71	37	45	3	6	15	68	76	43	23	19	34	72	31	43	3	5	11	72	78	43	22	18	36
GB40432	895	322	507	810	199	558	616	1073	1355	425	295	387	895	322	507	810	199	504	616	1073	1355	425	295	387
GB40435	1	4	6	3	0	4	5	6	3	8	1	5	1	4	6	1	0	0	5	6	3	8	1	5
GB40437	5	15	6	6	1	11	8	27	28	6	4	5	42	43	33	49	13	34	71	80	127	48	22	15
GB40467	9	32	22	9	24	31	56	34	11	25	22	28	9	32	22	9	24	31	0	1	7	25	22	28
GB40477	0	10	1	10	2	15	7	14	11	5	1	8	2	13	1	10	1	15	7	14	11	5	1	8
GB40479	12	25	19	5	8	44	34	38	5	13	14	17	11	24	18	5	8	44	2	0	3	13	14	17
GB40480	6	39	22	28	4	45	58	64	60	56	12	26	8	43	18	28	4	43	58	66	58	56	12	26
GB40481	3	0	0	1	0	1	2	2	0	2	0	0	3	0	0	1	0	1	0	0	0	2	0	0
GB40504	11	17	50	25	13	25	20	34	45	36	17	34	10	12	45	12	6	14	19	36	36	39	18	34
GB40520	124	33	74	29	34	35	42	67	66	41	22	53	117	34	69	27	26	43	24	22	27	16	13	27
GB40521	35	113	311	197	27	186	154	276	159	175	114	116	29	104	274	192	34	179	153	275	150	156	113	106
GB40522	534	251	737	153	130	363	574	613	324	180	280	452	522	228	696	148	127	360	572	619	323	173	283	430
GB40523	190	151	202	54	38	102	136	146	160	119	88	99	172	147	186	42	45	98	136	145	160	110	78	81
GB40524	10	12	17	11	3	24	13	12	34	35	21	25	5	6	9	16	11	49	13	12	41	5	6	0
GB40525	9	4	11	4	1	19	17	18	12	29	24	21	9	4	12	4	1	19	17	18	12	29	24	21
GB40527	8	17	26	7	3	21	14	4	7	13	3	19	8	17	21	3	2	30	3	0	19	6	0	17
GB40529	0	0	0	0	2	5	3	0	0	0	1	7	0	0	0	0	2	5	2	0	0	0	1	7
GB40530	0	3	3	0	2	2	2	1	0	0	1	2	0	3	3	1	4	1	1	0	0	0	0	0
GB40531	96	98	551	286	82	224	312	393	318	378	40	99	98	32	524	292	82	217	294	356	352	130	40	58
GB40532	11	14	25	1	2	3	5	7	2	2	1	0	8	7	5	1	4	3	0	3	2	1	0	1
GB40550	116	46	77	26	8	58	108	126	150	58	26	22	120	54	60	30	28	74	108	126	150	16	4	10
GB40554	457	350	298	332	337	345	400	445	171	858	299	249	564	292	288	332	335	410	472	519	231	960	353	290
GB40555	0	0	4	0	0	11	31	8	1	0	9	1	0	0	4	0	1	4	31	8	1	0	0	0
GB40563	56	111	80	49	38	127	239	264	99	76	78	58	56	111	80	49	38	126	239	264	99	76	78	58
GB40564	30	53	31	16	18	33	72	104	68	20	13	16	28	52	32	16	18	37	71	104	68	39	13	15
GB40565	1878	2025	1176	1236	754	1071	1589	3238	2898	1443	854	1093	1500	1912	985	1181	753	1120	1312	2741	2272	1423	821	1008
GB40566	130	208	398	96	24	852	362	310	402	722	328	268	130	206	398	88	26	804	348	308	406	730	324	250
GB40567	185	12	79	238	2	95	466	431	757	51	27	35	30	12	7	1	15	36	353	333	178	38	17	26
GB40581	4	2	2	6	1	3	6	3	4	2	0	0	4	2	2	6	1	3	6	3	4	1	0	0
GB40582	28	50	21	12	4	20	18	48	33	12	10	11	28	50	21	12	4	20	17	48	32	12	8	11
GB40583	94	162	80	14	0	44	50	80	69	21	18	9	94	164	82	14	0	45	52	80	70	24	18	9
GB40586	35	47	23	1	1	16	18	30	12	0	9	9	32	46	23	0	0	16	18	30	11	0	9	8
GB40593	416	115	1316	186	83	261	50	769	192	225	446	801	419	121	1326	188	85	264	42	764	183	199	421	643
GB40594	58	16	48	23	21	19	27	73	15	15	30	11	58	17	48	31	20	17	27	76	12	11	30	11
GB40598	1	0	4	0	0	5	8	0	3	0	0	1	0	4	1	0	0	3	8	1	3	0	0	1
GB40602	1130	1399	1149	8	12	42	360	1397	945	821	77	1335	1128	1378	1144	12	10	36	325	1157	1068	412	64	1321
GB40603	607	938	886	904	365	1014	866	1382	852	911	503	768	584	716	785	870	352	1008	796	1283	751	916	487	766
GB40605	4	0	1	0	0	1	4	1	1	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0
GB40608	633	3737	209	1694	1058	3221	4343	3638	2994	3836	2354	4098	523	2796	184	1693	1058	3220	4388	3565	1953	1496	2155	1676
GB40609	2	3	2	2	1	18	22	1	5	4	17	34	8	1	6	9	5	30	36	6	8	19	21	61
GB40611	2	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	4	0	0	0	0	0
GB40614	12	2	69	33	24	89	54	54	41	72	22	42	0	3	8	32	24	89	18	20	24	59	22	34
GB40615	7	28	23	3	4	20	2	8	6	31	4	4	7	28	23	3	4	20	0	6	10	31	5	4
GB40616	2	3	7	2	0	7	2	4	0	4	8	8	2	6	16	2	0	7	8	8	0	4	8	8
GB40617	10	11	9	7	1	42	13	0	2	12	6	20	1	3	12	6	0	42	11	2	1	12	6	30
GB40618	3	1	5	0	7	33	1	1	2	2	2	0	4	7	1	2	0	3	1	0	1	5	4	5
GB40619	6818	3393	21736	6793	4113	28068	17097	12073	9720	8816	5786	5758	2609	1014	7215	6793	4113	28041	17119	12072	9736	7883	5443	5246
GB40625	14	30	41	12	3	23	3	6	5	9	7	1	14	30	41	10	3	23	3	4	4	2	2	1
GB40626	52	30	123	47	37	100	21	86	24	37	39	31	23	24	74	37	39	90	15	53	15	35	26	20
GB40629	6	1	19	2	1	3	5	10	3	4	4	4	0	0	9	3	0	3	3	6	3	7	3	5
GB40632	6	7	7	0	0	11	14	6	0	7	3	3	12	16	8	0	1	10	17	7	3	6	3	3
GB40634	149	96	105	114	43	68	155	351	345	93	29	69	149	96	105	114	43	68	155	350	345	89	28	66
GB40635	36	44	145	113	133	257	82	35	19	40	51	43	66	6	19	113	142	267	8	52	29	40	35	40
GB40639	6	4	6	34	7	8	18	51	22	22	6	0	6	4	6	34	6	8	18	48	22	22	6	0
GB40640	3	4	5	17	3	6	10	24	13	13	3	3	3	4	4	17	4	6	10	24	12	11	3	1
GB40641	685	1241	603	2240	401	1922	6739	5065	4699	1332	3278	1343	1100	2867	1324	2415	367	1742	1667	4131	3560	1268	323	752
GB40642	8	4	5	16	2	14	14	40	38	9	0	4	8	7	4	18	2	15	14	40	38	9	0	4
GB40643	18	2	28	16	12	35	44	40	26	29	18	24	18	2	29	16	12	36	44	38	26	28	18	24
GB40644	37	31	35	43	28	55	124	122	105	76	17	39	37	27	35	43	28	56	125	115	101	76	17	38
GB40645	15	6	11	15	9	23	60	60	39	26	4	12	15	5	10	14	9	23	61	60	39	26	4	12
GB40647	36	9	34	21	6	32	25	65	31	27	4	18	36	7	34	21	6	32	24	67	31	27	4	18
GB40648	103	2	76	142	42	114	146	168	166	94	43	97	103	8	75	142	43	114	146	168	165	94	42	95
GB40649	24	4	40	8	5	14	1	42	28	4	0	0	24	8	40	8	4	14	0	42	28	4	0	0
GB40657	39	102	69	25	24	79	117	143	54	44	33	35	39	102	69	25	24	79	117	143	54	1	0	4
GB40658	0	1	1	0	2	3	2	0	1	0	0	0	4	0	2	0	0	1	1	0	1	0	4	3
GB40661	0	4	4	6	0	0	4	0	0	5	0	0	1	5	4	7	0	1	5	0	0	5	0	0
GB40662	39	57	62	61	36	37	57	57	96	35	10	50	42	50	57	44	29	45	61	50	95	36	10	49
GB40663	0	2	24	0	0	0	3	6	0	18	2	8	0	2	24	0	0	0	3	6	0	6	2	8
GB40670	962	831	1920	1866	1495	3400	2567	2963	1878	3191	2669	4121	958	807	1922	1866	1472	3402	2565	2963	1880	3188	2666	4113
GB40671	40	105	71	26	24	81	122	161	66	47	33	37	40	104	70	26	24	82	122	159	64	4	0	6
GB40677	1182	185	1413	334	144	29	810	2652	777	563	487	237	1179	395	1400	339	139	27	799	2647	772	557	488	234
GB40678	31	6	43	26	4	22	39	51	25	16	4	11	38	11	44	24	3	21	12	25	10	15	3	11
GB40679	592	153	337	501	295	796	1665	1947	1236	838	138	380	608	153	340	493	295	794	1690	1938	1229	824	141	374
GB40681	32	28	13	68	13	37	127	183	136	56	1	11	35	28	11	67	20	34	90	142	103	31	0	8
GB40682	4	0	0	11	0	8	7	17	13	5	0	0	4	0	0	11	0	10	7	17	13	5	0	0
GB40684	6	8	6	34	16	10	18	51	22	22	8	9	8	8	6	34	6	8	18	48	22	22	8	9
GB40687	0	0	1	1	1	1	2	1	0	1	0	3	0	3	2	2	1	0	1	0	0	1	2	3
GB40688	0	0	1	0	0	1	1	0	0	1	2	1	1	2	1	0	0	1	1	0	0	0	0	0
GB40690	1622	700	1028	709	626	1030	1578	3147	3466	1147	375	662	1624	711	1041	707	627	1029	1656	2776	3054	1032	306	514
GB40691	0	10	15	0	11	21	18	6	0	7	10	6	1	6	11	0	11	21	22	6	0	6	8	6
GB40692	66	98	71	5	5	19	122	91	37	46	32	31	18	120	33	8	7	35	89	66	29	32	6	1
GB40693	6111	2922	3089	1459	509	1674	3801	4589	4871	3842	829	2006	6109	2916	3097	1354	583	1536	3796	4588	4866	3856	833	2002
GB40694	186	89	86	63	33	111	167	242	212	94	25	76	119	53	78	69	34	112	112	130	94	62	21	61
GB40699	17	0	17	31	44	3	12	78	33	2	5	3	0	3	1	31	44	3	12	78	33	2	5	3
GB40700	0	5	8	2	0	13	4	14	2	2	4	15	1	4	11	1	1	12	4	14	2	5	3	15
GB40701	860	1335	2881	3895	1647	6957	2894	3059	3244	3781	3540	4669	850	1303	2864	1366	778	3034	2901	3056	3217	3780	3450	4658
GB40703	13	8	18	2	0	5	11	25	29	1	1	4	7	7	12	0	0	6	7	20	23	2	14	0
GB40708	1106	5467	2283	1211	1855	4354	3339	3346	1477	2499	3367	2870	1106	5467	2283	1211	1855	4354	3339	3346	1477	2499	3360	2870
GB40711	4846	2053	5046	2916	1806	6133	6367	7186	4260	4092	3778	5009	4431	2069	5045	1560	1848	6339	6317	7132	4222	4062	3707	2586
GB40712	0	0	1	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0
GB40713	79	409	157	29	28	65	75	69	86	222	464	44	79	409	157	30	1	10	71	76	76	222	464	44
GB40714	176	45	98	70	20	95	193	541	268	133	98	119	319	44	172	36	20	163	228	503	199	59	80	118
GB40719	0	2	2	2	0	2	0	3	0	22	11	2	2	1	2	0	1	2	4	1	1	20	15	4
GB40726	96	33	112	69	51	59	51	88	33	83	46	53	84	26	118	55	51	54	26	53	11	83	40	49
GB40728	0	0	0	3	0	4	6	1	0	2	17	1	0	0	0	3	0	4	6	5	0	0	6	1
GB40731	4	4	6	4	1	0	4	22	0	2	1	7	2	2	6	4	1	0	4	22	0	2	3	6
GB40732	9	4	3	2	0	5	4	14	16	1	0	1	5	3	1	0	0	3	4	15	13	1	0	1
GB40734	1	35	6	6	5	16	26	6	3	36	47	10	4	13	13	1	2	5	4	5	9	2	0	20
GB40735	346	934	725	14	32	181	650	312	145	435	1053	519	346	936	725	56	94	759	649	312	145	7	20	0
GB40740	41	30	43	58	163	94	37	38	34	38	50	38	46	133	64	59	162	115	40	135	32	34	55	33
GB40743	157	266	178	116	21	74	183	330	338	159	57	47	157	266	178	3	31	114	188	372	173	160	58	47
GB40744	1	2	1	0	0	0	1	2	1	0	2	2	2	2	1	0	0	1	1	2	1	0	2	2
GB40748	3	24	13	0	0	13	39	3	0	1	32	2	3	24	13	0	3	20	31	1	0	0	1	3
GB40749	11	18	11	2	0	1	13	53	25	8	3	2	11	18	14	9	4	5	13	52	22	8	3	2
GB40751	3	4	6	1	3	7	2	2	1	2	2	2	2	5	4	0	1	0	1	1	1	2	2	2
GB40752	1	1	2	0	1	1	0	1	0	1	0	1	3	1	5	0	4	5	1	1	0	0	0	1
GB40754	28	1	14	2	26	60	5	10	1	2	7	31	28	7	69	1	26	61	6	60	2	2	5	32
GB40756	0	0	5	38	7	26	25	24	5	11	3	0	5	2	5	38	7	26	6	5	0	10	3	0
GB40757	2	7	129	22	17	50	15	51	33	35	4	1	2	3	62	21	17	50	30	37	3	32	1	17
GB40763	0	10	10	1	0	4	18	6	10	6	0	22	0	10	10	0	0	0	16	6	10	6	0	20
GB40764	8	37	14	8	17	11	33	32	56	28	4	17	18	55	8	4	12	4	20	48	12	19	2	30
GB40765	104	14	122	92	40	112	236	342	219	129	25	56	106	12	121	92	41	117	231	336	218	113	20	41
GB40769	39	142	343	72	166	423	271	283	175	114	113	106	20	57	148	26	76	215	271	283	175	65	63	92
GB40770	116	467	413	136	424	754	460	344	147	341	675	292	37	67	69	136	424	754	461	344	147	58	144	314
GB40771	24	16	0	16	8	16	8	4	8	12	36	4	24	16	0	16	8	16	0	4	0	12	37	4
GB40773	158	2118	810	268	216	1102	713	623	388	903	864	695	158	2116	810	268	216	1102	714	623	386	903	866	679
GB40775	9	69	29	7	17	120	98	69	11	22	55	38	9	69	29	7	17	120	99	76	8	22	55	38
GB40785	22	26	27	29	18	63	16	21	14	59	35	28	5	8	5	28	16	63	0	0	15	0	0	24
GB40789	66	5	6	153	1	5	0	18	68	105	2	0	51	0	1	136	1	5	1	18	69	103	0	0
GB40791	12	0	1	36	1	0	0	4	16	24	0	0	12	0	0	32	1	0	0	4	16	24	0	0
GB40794	14	10	25	19	9	48	9	12	10	26	10	20	11	7	26	12	3	30	5	12	12	15	3	14
GB40797	106	90	30	52	24	69	92	94	71	75	64	40	106	90	30	52	24	69	0	0	65	75	64	40
GB40808	528	40	692	292	109	285	249	397	493	449	214	258	276	31	357	159	56	162	226	285	290	255	118	187
GB40809	16	28	28	24	20	54	23	21	4	61	55	36	12	32	19	24	19	51	8	1	1	59	50	36
GB40811	0	19	3	2	2	5	4	6	0	4	0	4	0	19	2	2	1	3	3	6	0	4	0	5
GB40815	10	2	20	19	21	23	22	5	15	25	24	40	11	2	20	19	20	27	15	2	11	25	24	40
GB40816	4	1	3	0	2	9	9	6	0	2	5	3	4	1	3	0	2	9	0	0	0	2	5	3
GB40818	247	124	456	171	110	404	258	267	176	411	100	243	284	115	389	150	102	408	280	253	144	348	80	269
GB40819	0	0	0	37	6	20	22	24	5	10	3	0	1	2	0	37	6	20	0	0	0	10	3	0
GB40820	22	11	22	9	3	17	24	7	3	5	3	5	13	1	21	6	5	10	17	7	2	2	3	2
GB40821	1	3	2	0	11	4	23	3	1	11	11	11	13	4	8	5	12	0	21	1	0	10	11	12
GB40822	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	2	0	0	2	2	0	0	0	0
GB40823	1875	4019	2568	3144	771	2576	6335	10973	7615	2719	643	773	1905	4065	2606	644	794	2556	5947	9942	5592	746	179	716
GB40824	23	5	38	20	12	42	86	108	75	29	10	22	23	5	38	20	12	43	86	108	75	29	10	22
GB40830	24	152	48	324	112	293	129	144	147	234	171	284	24	154	42	318	115	299	118	129	141	233	171	286
GB40831	283	615	349	224	48	187	408	731	631	304	131	130	253	504	315	24	58	283	421	760	444	305	132	130
