""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB47445	0	74	109	17	36	65	43	6	21	5	5	0	1	70	103	17	35	54	21	7	2	5	57	1
GB47446	1	0	1	0	0	0	0	0	4	1	0	0	1	0	1	0	0	0	0	0	2	1	0	0
GB47447	0	0	0	2	2	3	1	4	0	5	4	4	5	2	0	3	2	3	0	0	0	5	6	6
GB47448	20	24	5	7	5	4	14	43	17	63	17	20	28	31	10	14	2	13	1	14	7	56	26	23
GB47456	12	0	1	0	0	3	4	1	2	14	5	0	12	0	1	0	0	2	1	1	0	2	1	0
GB47470	2	0	9	0	3	2	3	0	4	4	0	0	8	8	11	2	3	6	7	11	2	9	5	6
GB47474	3	5	8	12	12	40	18	17	7	22	29	20	3	6	12	12	10	39	19	17	7	22	29	20
GB47477	0	5	4	0	0	5	12	5	1	5	3	0	0	5	4	0	0	5	12	5	1	2	0	0
GB47493	22	54	121	75	69	149	96	200	59	92	198	74	20	36	120	64	87	157	89	184	49	92	200	77
GB47494	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	6	4
GB47496	43	64	34	12	19	76	29	20	26	48	27	58	43	64	34	2	7	73	30	13	23	38	33	44
GB47498	75	6	209	107	73	144	207	169	138	114	122	119	75	6	209	63	58	120	207	170	139	102	126	93
GB47499	185	71	148	15	59	570	78	200	61	139	154	103	188	63	144	5	50	653	67	146	38	115	70	24
GB47502	148	100	633	34	52	420	338	196	80	236	340	332	147	100	633	1	5	80	337	197	80	236	340	332
GB47503	208	541	2354	477	254	1851	792	724	307	566	851	580	193	559	2423	477	254	1853	684	667	279	379	673	445
GB47506	1	0	2	0	1	1	1	1	0	4	1	0	0	0	0	0	0	0	1	1	0	4	1	0
GB47511	1	0	0	7	6	0	18	14	8	4	8	7	3	0	0	7	6	2	19	11	8	2	7	5
GB47512	0	0	4	28	0	0	8	16	0	4	4	0	0	0	4	0	0	4	0	16	20	0	12	0
GB47513	5	1	7	0	1	1	3	4	1	0	0	1	5	1	8	0	0	1	0	0	0	1	2	2
GB47515	0	0	6	2	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	1
GB47516	36	7	15	45	32	51	0	19	12	25	24	9	37	7	11	40	32	45	0	16	12	20	24	9
GB47518	18	0	0	23	13	23	4	14	9	10	13	0	19	0	0	23	12	23	0	11	6	8	14	0
GB47519	14	9	14	0	2	4	14	16	4	4	0	12	8	4	4	0	0	4	6	18	4	0	4	0
GB47520	808	524	6774	320	675	2836	1959	648	436	706	2487	826	525	345	71	322	691	2963	14	7	4	883	29	866
GB47525	11	22	22	3	13	16	23	26	11	10	8	23	1	0	0	0	0	0	3	10	3	1	1	1
GB47527	21	49	56	21	5	40	51	86	74	57	52	37	26	69	75	33	7	64	49	58	66	57	41	41
GB47533	3	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB47538	97	346	246	51	135	273	403	202	39	105	237	219	106	357	252	51	139	299	411	201	43	106	243	225
GB47543	9	4	28	4	4	23	16	17	0	11	11	14	9	4	28	3	4	23	16	17	0	11	10	13
GB47549	3	1	6	4	1	1	0	4	3	2	2	10	2	2	1	0	0	0	0	4	3	2	0	10
GB47550	1	1	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	3	1	1
GB47551	218	21	1526	572	517	1868	894	808	650	1924	1324	2178	230	9	1550	590	515	1886	889	809	649	1919	1334	2162
GB47556	1284	1280	815	1085	215	630	2270	3642	3382	1040	149	413	1295	1291	785	1094	240	609	2286	3640	3400	1049	150	420
GB47557	162	391	406	432	231	447	416	912	336	259	85	95	144	10	9	439	231	449	356	829	420	198	48	178
GB47558	39	84	93	96	55	103	86	202	72	50	8	16	32	0	0	96	52	98	72	180	92	42	4	28
GB47559	226	506	535	579	302	555	521	1206	442	292	51	114	196	3	4	579	303	554	434	1080	552	254	26	183
GB47561	439	995	1176	1154	604	1201	1155	2406	866	629	146	170	392	4	146	1157	601	1201	984	2168	1085	605	97	337
GB47562	72	164	196	193	97	193	192	385	130	96	25	33	56	1	26	194	92	193	153	361	156	107	16	43
GB47564	36	77	64	57	40	81	130	147	74	82	46	43	24	48	30	52	36	65	39	92	41	83	44	46
GB47565	4205	5552	5561	1128	616	1961	3511	2281	1630	4092	4417	5232	2514	4017	3789	1424	827	2754	3222	2212	1641	4098	3271	3930
GB47566	994	2047	2468	2247	1057	2304	2501	4763	1733	1423	379	593	687	360	680	2207	1074	2481	2147	4627	1929	1336	263	604
GB47567	7	13	8	3	10	39	28	17	5	22	42	17	1	16	9	3	9	23	31	12	5	22	42	17
GB47568	43	41	25	7	14	13	34	58	37	19	16	17	0	27	18	11	4	13	26	61	43	20	16	17
GB47569	0	4	3	0	1	0	22	9	6	2	1	0	0	18	16	4	4	10	48	12	10	0	0	0
GB47570	16	4	15	1	2	13	32	12	1	3	7	5	17	4	15	0	3	4	34	14	2	3	8	5
GB47572	320	43	143	63	56	160	233	258	174	230	273	189	227	39	113	31	37	138	229	215	173	230	270	190
GB47573	81	199	172	46	47	230	326	380	197	236	243	184	80	199	172	109	69	297	326	380	197	236	243	184
GB47575	19	53	40	22	25	62	61	44	24	64	41	43	19	53	40	23	23	60	61	44	24	64	41	43
GB47577	29	42	40	8	5	26	45	50	27	54	66	74	29	42	40	3	9	37	41	45	31	54	66	74
GB47579	0	57	71	0	0	3	5	0	2	2	3	3	1	84	97	0	0	3	36	47	0	4	3	3
GB47580	105	5	28	7	45	33	62	41	13	15	28	14	0	10	16	10	48	31	62	40	13	15	28	13
